# RDF for density=0.6gcm3, timestep 665
# r	g(r)
0.063489 0.000000
0.190466 0.000000
0.317443 0.000000
0.444420 0.000000
0.571397 0.000000
0.698375 0.000000
0.825352 0.000000
0.952329 0.000000
1.079306 0.000000
1.206284 0.358881
1.333261 7.310408
1.460238 14.875103
1.587215 5.553373
1.714193 0.860552
1.841170 0.114057
1.968147 0.037770
2.095124 0.071425
2.222101 1.477369
2.349079 4.365658
2.476056 6.658797
2.603033 5.372638
2.730010 3.283026
2.856987 2.535459
2.983965 1.808958
3.110942 0.938545
3.237919 0.529403
3.364896 0.405274
3.491874 0.717530
3.618851 1.680939
3.745828 2.617102
3.872805 2.482464
3.999783 1.678550
4.126760 1.532043
4.253737 1.889675
4.380714 1.732693
4.507691 1.264519
4.634668 1.110529
4.761646 1.344397
4.888623 1.890016
5.015600 2.243078
5.142577 1.992561
5.269555 1.537814
5.396532 1.086530
5.523509 0.907982
5.650486 0.978621
5.777463 0.969593
5.904441 0.982609
6.031418 1.110641
6.158395 1.369340
6.285373 1.543453
6.412350 1.748869
6.539327 1.762033
6.666304 1.505723
6.793282 1.162500
6.920259 0.985994
7.047235 0.994350
7.174213 1.128247
7.301190 1.281915
7.428167 1.351762
7.555144 1.343333
7.682122 1.247218
7.809099 1.150242
7.936076 1.066265
8.063053 0.995156
8.190031 0.947088
8.317008 0.993037
8.443985 1.139487
8.570963 1.322989
8.697939 1.439540
8.824917 1.416928
8.951895 1.334500
9.078871 1.185828
9.205849 1.090062
9.332826 1.049673
9.459803 1.014446
9.586781 1.030976
9.713757 1.114546
9.840734 1.182682
9.967712 1.223983
10.094688 1.191642
10.221666 1.125592
10.348644 1.107615
10.475620 1.074451
10.602598 1.092576
10.729575 1.142410
10.856552 1.173149
10.983530 1.186737
11.110506 1.209053
11.237484 1.210763
11.364462 1.195769
11.491438 1.129745
11.618416 1.073519
11.745393 1.036477
11.872370 0.997302
11.999348 1.030470
12.126325 1.070917
12.253302 1.111856
12.380280 1.135064
12.507256 1.103047
12.634233 1.123744
12.761211 1.114342
12.888187 1.095888
13.015165 1.085228
13.142142 1.073792
13.269119 1.071337
13.396097 1.083512
13.523073 1.100017
13.650051 1.113129
13.777029 1.084568
13.904005 1.050084
14.030983 1.025215
14.157960 1.017855
14.284937 1.020392
14.411915 1.024934
14.538892 1.040736
14.665869 1.062751
14.792847 1.081178
14.919823 1.095631
15.046801 1.086957
15.173779 1.063671
15.300755 1.041220
15.427732 1.038979
15.554709 1.027605
15.681686 1.026959
15.808664 1.030775
15.935640 1.038084
16.062618 1.035675
16.189594 1.032923
16.316574 1.027241
16.443550 1.020401
16.570526 1.002406
16.697506 1.017126
16.824482 1.015507
16.951458 1.030092
17.078436 1.037754
17.205414 1.047056
17.332390 1.042797
17.459368 1.020949
17.586346 1.035617
17.713322 1.013390
17.840300 1.016374
17.967278 1.002953
18.094254 0.993188
18.221230 1.006645
18.348209 1.008876
18.475185 1.013542
18.602161 1.022863
18.729141 1.015684
18.856117 1.010867
18.983093 1.011203
19.110073 1.008057
19.237049 1.016262
19.364025 1.006740
19.491003 1.010385
19.617981 1.014919
19.744957 1.009042
19.871935 1.013558
19.998913 0.997990
20.125889 1.002461
20.252867 0.997666
20.379845 0.988079
20.506821 1.000068
20.633799 0.991000
20.760777 0.994453
20.887753 0.996072
21.014729 1.010138
21.141708 0.996852
21.268684 1.001194
21.395660 0.996210
21.522640 0.991233
21.649616 0.994760
21.776592 0.988243
21.903570 0.987929
22.030548 0.996654
22.157524 0.990990
22.284502 0.988620
22.411480 0.984214
22.538456 0.983619
22.665434 0.984472
22.792412 0.985572
22.919388 0.981347
23.046366 0.981811
23.173344 0.979917
23.300320 0.986687
23.427296 0.980510
23.554276 0.990611
23.681252 0.978985
23.808228 0.988700
23.935207 0.980527
24.062183 0.982172
24.189159 0.971931
24.316139 0.975450
24.443115 0.975312
24.570091 0.975588
24.697069 0.983257
24.824047 0.975318
24.951023 0.973195
25.078001 0.980374
25.204979 0.971371
25.331955 0.980004
