# RDF for density=0.6gcm3, timestep 795
# r	g(r)
0.063489 0.000000
0.190466 0.000000
0.317443 0.000000
0.444420 0.000000
0.571397 0.000000
0.698375 0.000000
0.825352 0.000000
0.952329 0.000000
1.079306 0.000000
1.206284 0.344525
1.333261 7.339791
1.460238 14.483137
1.587215 5.793922
1.714193 0.910336
1.841170 0.089396
1.968147 0.016187
2.095124 0.066663
2.222101 1.411755
2.349079 4.327778
2.476056 6.614473
2.603033 5.212214
2.730010 3.344731
2.856987 2.511129
2.983965 1.759655
3.110942 0.960145
3.237919 0.482544
3.364896 0.368347
3.491874 0.689241
3.618851 1.621875
3.745828 2.526215
3.872805 2.408590
3.999783 1.673977
4.126760 1.558437
4.253737 1.839415
4.380714 1.711995
4.507691 1.284068
4.634668 1.056512
4.761646 1.328261
4.888623 1.843651
5.015600 2.179085
5.142577 2.048294
5.269555 1.507321
5.396532 1.091914
5.523509 0.902843
5.650486 0.930819
5.777463 0.961137
5.904441 0.969416
6.031418 1.108629
6.158395 1.310631
6.285373 1.581556
6.412350 1.734377
6.539327 1.736121
6.666304 1.491844
6.793282 1.192628
6.920259 1.009569
7.047235 0.969933
7.174213 1.080112
7.301190 1.250931
7.428167 1.355172
7.555144 1.337106
7.682122 1.217105
7.809099 1.113900
7.936076 1.049002
8.063053 0.979398
8.190031 0.932438
8.317008 0.954954
8.443985 1.100488
8.570963 1.288409
8.697939 1.372385
8.824917 1.375719
8.951895 1.331239
9.078871 1.170609
9.205849 1.075629
9.332826 0.998185
9.459803 0.955336
9.586781 0.981611
9.713757 1.057157
9.840734 1.130975
9.967712 1.153698
10.094688 1.129167
10.221666 1.110884
10.348644 1.056173
10.475620 1.026725
10.602598 1.043847
10.729575 1.090289
10.856552 1.119135
10.983530 1.123479
11.110506 1.171283
11.237484 1.183196
11.364462 1.156188
11.491438 1.095071
11.618416 1.050324
11.745393 0.979833
11.872370 0.956511
11.999348 1.006220
12.126325 1.019092
12.253302 1.069662
12.380280 1.111329
12.507256 1.094894
12.634233 1.105407
12.761211 1.098165
12.888187 1.080532
13.015165 1.060357
13.142142 1.045405
13.269119 1.046875
13.396097 1.077978
13.523073 1.085326
13.650051 1.099075
13.777029 1.080245
13.904005 1.043163
14.030983 1.018365
14.157960 0.992196
14.284937 0.998363
14.411915 1.010691
14.538892 1.034208
14.665869 1.053613
14.792847 1.084761
14.919823 1.081026
15.046801 1.077214
15.173779 1.065442
15.300755 1.046802
15.427732 1.028635
15.554709 1.014578
15.681686 1.008552
15.808664 1.021447
15.935640 1.031292
16.062618 1.031542
16.189594 1.041259
16.316574 1.023432
16.443550 1.004840
16.570526 0.998503
16.697506 0.996391
16.824482 1.011297
16.951458 1.022089
17.078436 1.038650
17.205414 1.049034
17.332390 1.052436
17.459368 1.029660
17.586346 1.015049
17.713322 1.014540
17.840300 0.997471
17.967278 0.991409
18.094254 1.004460
18.221230 1.009195
18.348209 1.004187
18.475185 1.012256
18.602161 1.019434
18.729141 1.006580
18.856117 1.006133
18.983093 1.010841
19.110073 1.007298
19.237049 1.011374
19.364025 1.014979
19.491003 1.017388
19.617981 1.021166
19.744957 1.021403
19.871935 1.009997
19.998913 1.005034
20.125889 1.005455
20.252867 0.997679
20.379845 0.994384
20.506821 0.996439
20.633799 0.999029
20.760777 1.002954
20.887753 1.006554
21.014729 1.008316
21.141708 1.002091
21.268684 1.013397
21.395660 1.002410
21.522640 0.993975
21.649616 1.007384
21.776592 1.000544
21.903570 1.003313
22.030548 0.999476
22.157524 1.001658
22.284502 0.992883
22.411480 0.987325
22.538456 0.985142
22.665434 0.985602
22.792412 0.984998
22.919388 0.988332
23.046366 0.992439
23.173344 1.003093
23.300320 0.992811
23.427296 0.988928
23.554276 0.993654
23.681252 0.983281
23.808228 0.983029
23.935207 0.994979
24.062183 0.980231
24.189159 0.985501
24.316139 0.990178
24.443115 0.988593
24.570091 0.983571
24.697069 0.981132
24.824047 0.972994
24.951023 0.983849
25.078001 0.981928
25.204979 0.981277
25.331955 0.983319
