# RDF for density=1.2gcm3, timestep 551
# r	g(r)
0.050339 0.000000
0.151018 0.000000
0.251697 0.000000
0.352376 0.000000
0.453054 0.000000
0.553733 0.000000
0.654412 0.000000
0.755090 0.000000
0.855769 0.000000
0.956448 0.000000
1.057127 0.000000
1.157805 0.024573
1.258484 0.599063
1.359163 4.744036
1.459841 7.544726
1.560520 3.945536
1.661199 1.079443
1.761878 0.235663
1.862556 0.045596
1.963235 0.006840
2.063914 0.012378
2.164593 0.233515
2.265271 1.060977
2.365950 2.302012
2.466629 3.303136
2.567307 3.073186
2.667986 2.110394
2.768665 1.508268
2.869344 1.329835
2.970022 0.999842
3.070701 0.682298
3.171380 0.416177
3.272058 0.311539
3.372737 0.297274
3.473416 0.390114
3.574095 0.752375
3.674774 1.193028
3.775452 1.471547
3.876131 1.424620
3.976810 1.142075
4.077488 1.044749
4.178167 1.107154
4.278846 1.256218
4.379525 1.187787
4.480204 1.041076
4.580882 0.917917
4.681561 0.881564
4.782239 1.087257
4.882918 1.288947
4.983597 1.437257
5.084276 1.458943
5.184955 1.350846
5.285633 1.174828
5.386312 1.008845
5.486991 0.874947
5.587669 0.901768
5.688348 0.923301
5.789027 0.909763
5.889706 0.925671
5.990384 0.942215
6.091063 1.040684
6.191742 1.114233
6.292420 1.221554
6.393099 1.297571
6.493778 1.327369
6.594457 1.284429
6.695135 1.188580
6.795814 1.071553
6.896493 0.978676
6.997171 0.913553
7.097850 0.955214
7.198529 1.005263
7.299208 1.073990
7.399886 1.125018
7.500566 1.132515
7.601244 1.107397
7.701922 1.078742
7.802601 1.023043
7.903280 1.000410
8.003959 0.985952
8.104637 0.948163
8.205317 0.943102
8.305995 0.945691
8.406673 0.989320
8.507353 1.051391
8.608031 1.108424
8.708710 1.150053
8.809389 1.160190
8.910067 1.141263
9.010746 1.093725
9.111425 1.048417
9.212103 1.007372
9.312782 0.973233
9.413462 0.960644
9.514139 0.955208
9.614819 0.971888
9.715497 0.997169
9.816175 1.035733
9.916855 1.040214
10.017533 1.051129
10.118212 1.056985
10.218891 1.021739
10.319570 1.017429
10.420248 0.987127
10.520927 1.001083
10.621605 0.999432
10.722284 0.999951
10.822964 1.024721
10.923641 1.029566
11.024321 1.048859
11.125000 1.046161
11.225677 1.052384
11.326357 1.058411
11.427036 1.021026
11.527714 1.008576
11.628393 0.985531
11.729072 0.974952
11.829750 0.964184
11.930429 0.964980
12.031108 0.968467
12.131786 0.981410
12.232466 0.998846
12.333144 0.999341
12.433823 1.013726
12.534502 1.020938
12.635180 1.018528
12.735859 1.008918
12.836538 1.002049
12.937216 0.994800
13.037895 0.993141
13.138575 0.997733
13.239252 0.986902
13.339931 0.984804
13.440610 0.991953
13.541288 1.000382
13.641968 0.998036
13.742646 0.991870
13.843325 0.998901
13.944004 0.987105
14.044683 0.978609
14.145361 0.971131
14.246040 0.974049
14.346718 0.973080
14.447397 0.976518
14.548077 0.981524
14.648754 0.985870
14.749434 1.005080
14.850113 1.003769
14.950790 1.008547
15.051470 1.008245
15.152149 0.997800
15.252827 0.996912
15.353506 0.994341
15.454185 0.982135
15.554863 0.977808
15.655542 0.978507
15.756221 0.984142
15.856899 0.984671
15.957579 0.972819
16.058258 0.992350
16.158936 0.997953
16.259613 0.992246
16.360294 0.987190
16.460972 0.981222
16.561649 0.990690
16.662331 0.979567
16.763008 0.976734
16.863686 0.978157
16.964367 0.986011
17.065044 0.989322
17.165722 0.992296
17.266403 0.992561
17.367081 0.996791
17.467758 0.990338
17.568438 0.981735
17.669117 0.984847
17.769794 0.983454
17.870474 0.983572
17.971153 0.983082
18.071831 0.975532
18.172510 0.980426
18.273190 0.985221
18.373867 0.979389
18.474546 0.994588
18.575226 0.986699
18.675903 0.990492
18.776583 0.982760
18.877262 0.985863
18.977940 0.984829
19.078619 0.981880
19.179298 0.983324
19.279976 0.983372
19.380653 0.988437
19.481335 0.989773
19.582012 0.991502
19.682690 0.992458
19.783371 0.986592
19.884048 0.992901
19.984726 0.987153
20.085407 0.991141
