# RDF for density=2.0gcm3, timestep 871
# r	g(r)
0.042419 0.000000
0.127256 0.000000
0.212094 0.000000
0.296931 0.000000
0.381768 0.000000
0.466606 0.000000
0.551443 0.000000
0.636281 0.000000
0.721118 0.000000
0.805956 0.000000
0.890793 0.000000
0.975631 0.000000
1.060468 0.000000
1.145306 0.003577
1.230143 0.198443
1.314980 1.611894
1.399818 4.260289
1.484655 4.153621
1.569493 2.059399
1.654330 0.613879
1.739168 0.152053
1.824005 0.036676
1.908842 0.016744
1.993680 0.002362
2.078517 0.014123
2.163355 0.169479
2.248192 0.636079
2.333030 1.179605
2.417867 1.816830
2.502705 1.985747
2.587542 1.732200
2.672379 1.210588
2.757217 0.940292
2.842054 0.834443
2.926892 0.744038
3.011729 0.593529
3.096567 0.461107
3.181404 0.380731
3.266242 0.373090
3.351079 0.414210
3.435916 0.524019
3.520754 0.698623
3.605591 0.960029
3.690429 1.204175
3.775266 1.327513
3.860104 1.349815
3.944941 1.208839
4.029778 1.117722
4.114616 1.132826
4.199453 1.198773
4.284291 1.255592
4.369128 1.229927
4.453966 1.175713
4.538803 1.058806
4.623641 0.996814
4.708478 1.001445
4.793316 1.117897
4.878153 1.194349
4.962991 1.308606
5.047828 1.292804
5.132666 1.235099
5.217503 1.173363
5.302341 1.037281
5.387177 0.915914
5.472015 0.870175
5.556852 0.839248
5.641690 0.845609
5.726527 0.846507
5.811365 0.839762
5.896202 0.856003
5.981040 0.843835
6.065877 0.843102
6.150715 0.911697
6.235552 0.972407
6.320390 1.010634
6.405227 1.052226
6.490065 1.042617
6.574902 1.059969
6.659739 1.012606
6.744576 0.939723
6.829414 0.895384
6.914251 0.865792
6.999089 0.853935
7.083926 0.915360
7.168764 0.950997
7.253601 0.974919
7.338439 1.032084
7.423276 1.052328
7.508114 1.093878
7.592951 1.083169
7.677789 1.082691
7.762626 1.065392
7.847464 1.039923
7.932301 1.034659
8.017138 1.018320
8.101976 1.018978
8.186813 0.998965
8.271650 0.984050
8.356488 1.011036
8.441326 1.037575
8.526163 1.054492
8.611000 1.074828
8.695838 1.106918
8.780676 1.116791
8.865513 1.112133
8.950350 1.073796
9.035188 1.037119
9.120026 1.004809
9.204863 0.985995
9.289700 0.954949
9.374537 0.937086
9.459375 0.931883
9.544212 0.918210
9.629049 0.930439
9.713887 0.937674
9.798725 0.952641
9.883562 0.956667
9.968399 0.990421
10.053237 0.986372
10.138075 0.975626
10.222912 0.955608
10.307749 0.939974
10.392587 0.946086
10.477425 0.938383
10.562262 0.941265
10.647099 0.953682
10.731936 0.976985
10.816774 0.991916
10.901611 1.020060
10.986449 1.014842
11.071287 1.041155
11.156124 1.046738
11.240961 1.056620
11.325799 1.056337
11.410637 1.058962
11.495474 1.058206
11.580311 1.033542
11.665149 1.010505
11.749987 1.019747
11.834824 0.997607
11.919661 0.999436
12.004498 1.002943
12.089336 1.012379
12.174173 1.010333
12.259010 1.011348
12.343848 1.026390
12.428686 1.034409
12.513523 1.025407
12.598360 1.007299
12.683198 1.010250
12.768036 1.006054
12.852873 0.995470
12.937710 0.995209
13.022548 0.991040
13.107386 0.989228
13.192223 0.975821
13.277060 0.972760
13.361897 0.976201
13.446735 0.985538
13.531572 0.980796
13.616409 0.980952
13.701247 0.988604
13.786085 0.997757
13.870922 0.985382
13.955759 0.972722
14.040597 0.966446
14.125435 0.972895
14.210272 0.966835
14.295109 0.961431
14.379947 0.978547
14.464785 0.972438
14.549622 0.983403
14.634459 0.998978
14.719296 1.012640
14.804134 1.022206
14.888971 1.026083
14.973808 1.030627
15.058646 1.036981
15.143484 1.036912
15.228321 1.033123
15.313158 1.025724
15.397996 1.025482
15.482834 1.012946
15.567671 1.004541
15.652508 1.013786
15.737346 1.008554
15.822184 1.018648
15.907021 1.006527
15.991858 1.011210
16.076694 1.016401
16.161533 1.007316
16.246370 1.001129
16.331207 1.005850
16.416046 0.992017
16.500883 0.991336
16.585720 0.989269
16.670559 0.978975
16.755394 0.975586
16.840233 0.978946
16.925072 0.987291
