# RDF for density=1.0gcm3, timestep 598
# r	g(r)
0.053550 0.000000
0.160650 0.000000
0.267750 0.000000
0.374850 0.000000
0.481950 0.000000
0.589050 0.000000
0.696150 0.000000
0.803250 0.000000
0.910350 0.000000
1.017450 0.000000
1.124550 0.000000
1.231650 0.451746
1.338750 4.401699
1.445850 9.076928
1.552950 4.970773
1.660050 1.392416
1.767150 0.250533
1.874250 0.050909
1.981350 0.022778
2.088450 0.030753
2.195550 0.573530
2.302650 1.874894
2.409750 3.377733
2.516850 3.997590
2.623950 2.992805
2.731050 2.047302
2.838150 1.561728
2.945250 1.281834
3.052350 0.818309
3.159450 0.512917
3.266550 0.361798
3.373650 0.326753
3.480750 0.506877
3.587850 0.917663
3.694950 1.499022
3.802050 1.702939
3.909150 1.479229
4.016250 1.184696
4.123350 1.075732
4.230450 1.208526
4.337550 1.264068
4.444650 1.106172
4.551750 0.911919
4.658850 0.890048
4.765950 1.031621
4.873050 1.331707
4.980150 1.489009
5.087250 1.471325
5.194350 1.312939
5.301450 1.078247
5.408550 0.868827
5.515650 0.804547
5.622750 0.825111
5.729850 0.841321
5.836950 0.843545
5.944050 0.915731
6.051150 0.962172
6.158250 1.083079
6.265350 1.175478
6.372450 1.273220
6.479550 1.306037
6.586650 1.263739
6.693750 1.131473
6.800850 0.999910
6.907950 0.918386
7.015050 0.900101
7.122150 0.973000
7.229250 1.045500
7.336350 1.069619
7.443450 1.113856
7.550550 1.103530
7.657650 1.026488
7.764750 0.993543
7.871850 0.966694
7.978951 0.942439
8.086050 0.909320
8.193150 0.931329
8.300250 0.936884
8.407351 0.999834
8.514450 1.075708
8.621550 1.135473
8.728650 1.163939
8.835751 1.136650
8.942850 1.110996
9.049950 1.050540
9.157050 1.000695
9.264151 0.970735
9.371250 0.950722
9.478350 0.957389
9.585450 0.957946
9.692551 0.983454
9.799650 1.008263
9.906750 1.049376
10.013850 1.021933
10.120951 1.011977
10.228050 1.005514
10.335150 0.986863
10.442250 0.982044
10.549351 0.974721
10.656450 1.007809
10.763550 1.024771
10.870650 1.042657
10.977751 1.029114
11.084850 1.030804
11.191950 1.029819
11.299050 1.042269
11.406151 1.015908
11.513250 0.992605
11.620350 0.985645
11.727450 0.954400
11.834551 0.962421
11.941650 0.955434
12.048750 0.977638
12.155850 0.995654
12.262951 0.995185
12.370050 1.008523
12.477150 1.013059
12.584250 1.009927
12.691351 1.005666
12.798450 1.018950
12.905550 1.010506
13.012650 1.011299
13.119751 1.007008
13.226851 1.009780
13.333950 1.005397
13.441051 0.995016
13.548151 0.999190
13.655251 1.016086
13.762350 1.015684
13.869450 1.000818
13.976550 0.990456
14.083651 0.998437
14.190750 0.982409
14.297850 0.992900
14.404950 0.987717
14.512051 0.997640
14.619150 1.007009
14.726250 0.991783
14.833350 1.020985
14.940451 1.024489
15.047550 1.011120
15.154650 1.018983
15.261750 1.007466
15.368851 0.997834
15.475950 1.003122
15.583050 0.996925
15.690150 0.996391
15.797251 0.993368
15.904350 0.990417
16.011450 1.002294
16.118549 0.998428
16.225651 1.000396
16.332750 0.997041
16.439850 0.998236
16.546951 0.989230
16.654049 1.000010
16.761150 0.996422
16.868252 0.999169
16.975349 0.995276
17.082451 1.001191
17.189550 1.002338
17.296650 1.008541
17.403751 0.998478
17.510849 1.001056
17.617950 0.994165
17.725052 0.987054
17.832150 0.992251
17.939251 0.980130
18.046350 0.983322
18.153450 0.992527
18.260551 0.988719
18.367649 0.986813
18.474751 0.986984
18.581852 0.991886
18.688950 0.978423
18.796051 0.982577
18.903151 0.990433
19.010250 0.979080
19.117352 0.987944
19.224449 0.987712
19.331551 0.988667
19.438652 0.980920
19.545750 0.994722
19.652851 0.989409
19.759951 0.983365
19.867050 0.979488
19.974152 0.987634
20.081249 0.983311
20.188351 0.985853
20.295452 0.983460
20.402550 0.979569
20.509651 0.986873
20.616749 0.990035
20.723850 0.985044
20.830952 0.987091
20.938049 0.980383
21.045151 0.992125
21.152250 0.984715
21.259350 0.982757
21.366451 0.991968
