# RDF for density=1.5gcm3, timestep 514
# r	g(r)
0.046713 0.000000
0.140139 0.000000
0.233565 0.000000
0.326991 0.000000
0.420417 0.000000
0.513843 0.000000
0.607269 0.000000
0.700695 0.000000
0.794121 0.000000
0.887547 0.000000
0.980973 0.000000
1.074399 0.000000
1.167825 0.033320
1.261251 0.571367
1.354677 3.795283
1.448103 6.065995
1.541529 3.863691
1.634955 1.143537
1.728381 0.251065
1.821807 0.044511
1.915233 0.010843
2.008659 0.005633
2.102085 0.032149
2.195511 0.387844
2.288937 1.040131
2.382363 2.021446
2.475789 2.688533
2.569215 2.438046
2.662642 1.675227
2.756067 1.240397
2.849494 1.083414
2.942919 0.858903
3.036345 0.608384
3.129771 0.375357
3.223197 0.238495
3.316623 0.210784
3.410049 0.220407
3.503475 0.363911
3.596901 0.699733
3.690328 0.987323
3.783753 1.223384
3.877180 1.128467
3.970606 0.937209
4.064032 0.820985
4.157457 0.868342
4.250884 0.993195
4.344310 1.010856
4.437736 0.959226
4.531161 0.851429
4.624588 0.766095
4.718014 0.844302
4.811440 0.959623
4.904865 1.187511
4.998292 1.317102
5.091718 1.317445
5.185143 1.260668
5.278570 1.127311
5.371996 0.976187
5.465422 0.914756
5.558847 0.905780
5.652274 0.897614
5.745700 0.933902
5.839126 0.936597
5.932551 0.960451
6.025978 0.984269
6.119404 1.031244
6.212830 1.121411
6.306256 1.188183
6.399682 1.238178
6.493108 1.266436
6.586534 1.254204
6.679960 1.176074
6.773386 1.076831
6.866812 1.002779
6.960238 0.926880
7.053664 0.929217
7.147090 0.939691
7.240516 0.992671
7.333942 1.015833
7.427368 1.054509
7.520794 1.060735
7.614220 1.040052
7.707646 0.997300
7.801072 0.968135
7.894498 0.949921
7.987924 0.923189
8.081350 0.892837
8.174776 0.870680
8.268202 0.875469
8.361628 0.876819
8.455054 0.937133
8.548480 0.977268
8.641906 1.027327
8.735332 1.061023
8.828758 1.077703
8.922184 1.050969
9.015610 1.024673
9.109036 0.991378
9.202462 0.952288
9.295888 0.943571
9.389315 0.938027
9.482740 0.914493
9.576166 0.927662
9.669592 0.947964
9.763018 0.955834
9.856444 0.986308
9.949870 1.021262
10.043297 1.028255
10.136723 1.034512
10.230148 1.016245
10.323574 1.016065
10.417000 1.009277
10.510427 1.000116
10.603852 0.993138
10.697278 1.014182
10.790705 1.038561
10.884130 1.038067
10.977556 1.054712
11.070982 1.051999
11.164409 1.074781
11.257834 1.072130
11.351260 1.072332
11.444687 1.068121
11.538113 1.037283
11.631538 1.016193
11.724964 1.006843
11.818390 0.984628
11.911817 0.971338
12.005242 0.971854
12.098669 0.970169
12.192095 0.989208
12.285521 0.994133
12.378946 1.004779
12.472372 1.005115
12.565799 1.007347
12.659225 1.003675
12.752650 0.990628
12.846077 0.997065
12.939503 0.990177
13.032928 0.991661
13.126354 0.981010
13.219781 0.968181
13.313207 0.967145
13.406632 0.974650
13.500059 0.978031
13.593485 0.990389
13.686911 1.000182
13.780336 1.003559
13.873762 0.985382
13.967189 0.982467
14.060615 0.979166
14.154041 0.967499
14.247467 0.971718
14.340893 0.970561
14.434319 0.973345
14.527744 0.976488
14.621171 0.988847
14.714597 0.998813
14.808022 1.000411
14.901449 1.026260
14.994875 1.026521
15.088301 1.021133
15.181726 1.034136
15.275153 1.023753
15.368579 1.022582
15.462005 1.014995
15.555431 1.014408
15.648857 1.012911
15.742283 1.012461
15.835709 1.013693
15.929134 1.003126
16.022562 1.009648
16.115988 1.012100
16.209414 1.021423
16.302839 1.015819
16.396265 1.008015
16.489691 1.013169
16.583117 1.001895
16.676542 0.999616
16.769970 0.992745
16.863396 0.984304
16.956821 0.995591
17.050247 0.997322
17.143673 1.003606
17.237099 1.001103
17.330524 1.010902
17.423950 1.010291
17.517378 1.003980
17.610804 1.001409
17.704229 0.994864
17.797655 1.000976
17.891081 0.986101
17.984507 0.980364
18.077934 0.973516
18.171360 0.988017
18.264786 0.976960
18.358212 0.977686
18.451637 0.976657
18.545063 0.982474
18.638489 0.986053
