# RDF for density=1.4gcm3, timestep 232
# r	g(r)
0.047806 0.000000
0.143417 0.000000
0.239028 0.000000
0.334639 0.000000
0.430250 0.000000
0.525861 0.000000
0.621472 0.000000
0.717083 0.000000
0.812694 0.000000
0.908306 0.000000
1.003917 0.000000
1.099528 0.000000
1.195139 0.062452
1.290750 1.313665
1.386361 5.226667
1.481972 6.006908
1.577583 2.786771
1.673195 0.745790
1.768806 0.176822
1.864417 0.046206
1.960028 0.023227
2.055639 0.021117
2.151250 0.174826
2.246861 0.836682
2.342472 1.749906
2.438083 2.607206
2.533695 2.692188
2.629306 2.106695
2.724917 1.436644
2.820528 1.118792
2.916139 0.975976
3.011750 0.746428
3.107361 0.529909
3.202972 0.365941
3.298584 0.319336
3.394195 0.308830
3.489806 0.478270
3.585417 0.753938
3.681028 1.095539
3.776639 1.294397
3.872250 1.250315
3.967861 1.021108
4.063473 0.924258
4.159083 0.965147
4.254695 1.088238
4.350306 1.092178
4.445917 1.051429
4.541528 0.900024
4.637139 0.891243
4.732750 0.973270
4.828362 1.074458
4.923972 1.280253
5.019584 1.303737
5.115195 1.320939
5.210806 1.191839
5.306417 1.074898
5.402028 0.989476
5.497640 0.940594
5.593250 0.917273
5.688862 0.914828
5.784472 0.934628
5.880084 0.950254
5.975695 0.971244
6.071306 1.021280
6.166917 1.087016
6.262528 1.131903
6.358139 1.195553
6.453751 1.227247
6.549361 1.232596
6.644973 1.179596
6.740583 1.101451
6.836195 1.019039
6.931806 0.955462
7.027417 0.933495
7.123028 0.962308
7.218639 1.020344
7.314251 1.041554
7.409862 1.080627
7.505473 1.062039
7.601084 1.052274
7.696695 1.014945
7.792306 1.009103
7.887918 0.976087
7.983528 0.945844
8.079140 0.945385
8.174750 0.931402
8.270362 0.934521
8.365973 0.944751
8.461584 0.980019
8.557196 1.015534
8.652806 1.062109
8.748417 1.091041
8.844028 1.105829
8.939640 1.080158
9.035251 1.033132
9.130861 1.007267
9.226473 0.983627
9.322084 0.965822
9.417695 0.969310
9.513306 0.943817
9.608917 0.975712
9.704529 0.973708
9.800139 0.999954
9.895750 1.004127
9.991362 1.035269
10.086973 1.037560
10.182584 1.015945
10.278195 0.995671
10.373806 0.980947
10.469418 0.992636
10.565029 1.005673
10.660640 1.000272
10.756250 1.005257
10.851862 1.019291
10.947474 1.022078
11.043084 1.021624
11.138695 1.033905
11.234306 1.045008
11.329918 1.049705
11.425529 1.023698
11.521139 1.008450
11.616751 0.992877
11.712362 0.985851
11.807973 0.969726
11.903584 0.965225
11.999195 0.986033
12.094807 0.991220
12.190417 0.987548
12.286029 1.008075
12.381639 1.009534
12.477251 1.008597
12.572863 1.021930
12.668473 1.008707
12.764084 1.009546
12.859695 0.995659
12.955307 0.997867
13.050918 0.989405
13.146528 0.995454
13.242140 0.996426
13.337751 1.001834
13.433362 1.011816
13.528973 1.011517
13.624584 1.004254
13.720196 1.002389
13.815806 1.003489
13.911417 0.997651
14.007029 0.990921
14.102640 0.982420
14.198251 0.982091
14.293862 0.983471
14.389473 0.971691
14.485085 0.992102
14.580696 0.986696
14.676307 1.001033
14.771917 1.002274
14.867529 1.005783
14.963140 1.006587
15.058751 1.002467
15.154362 1.003547
15.249973 1.001533
15.345585 1.005930
15.441195 0.988723
15.536806 1.003741
15.632418 0.995349
15.728029 0.989959
15.823640 0.997694
15.919250 0.995594
16.014862 1.001756
16.110474 1.005242
16.206085 1.000640
16.301695 1.002682
16.397306 0.994915
16.492918 0.990198
16.588530 0.997571
16.684139 1.000031
16.779751 0.994518
16.875362 0.995094
16.970974 1.004946
17.066586 1.001600
17.162195 1.005820
17.257807 0.999650
17.353418 1.011476
17.449028 1.004417
17.544640 1.009032
17.640251 0.994953
17.735863 1.007140
17.831474 1.001244
17.927084 0.988206
18.022696 0.990547
18.118307 0.991522
18.213917 0.992009
18.309528 0.994716
18.405140 0.997079
18.500751 0.998873
18.596363 1.001930
18.691975 1.000637
18.787584 0.987470
18.883196 0.994153
18.978807 0.997434
19.074417 1.001255
