# RDF for density=2.0gcm3, timestep 139
# r	g(r)
0.042419 0.000000
0.127256 0.000000
0.212094 0.000000
0.296931 0.000000
0.381768 0.000000
0.466606 0.000000
0.551443 0.000000
0.636281 0.000000
0.721118 0.000000
0.805956 0.000000
0.890793 0.000000
0.975631 0.000000
1.060468 0.000000
1.145306 0.000000
1.230143 0.173638
1.314980 1.628175
1.399818 3.956154
1.484655 4.294133
1.569493 2.076544
1.654330 0.680754
1.739168 0.147399
1.824005 0.057835
1.908842 0.011592
1.993680 0.016531
2.078517 0.020641
2.163355 0.194549
2.248192 0.648151
2.333030 1.316708
2.417867 1.704432
2.502705 1.925051
2.587542 1.603915
2.672379 1.259222
2.757217 0.948318
2.842054 0.832700
2.926892 0.687057
3.011729 0.591459
3.096567 0.479708
3.181404 0.468379
3.266242 0.434245
3.351079 0.490281
3.435916 0.577296
3.520754 0.759966
3.605591 0.969777
3.690429 1.230023
3.775266 1.307094
3.860104 1.275158
3.944941 1.183806
4.029778 1.107316
4.114616 1.107874
4.199453 1.149800
4.284291 1.188849
4.369128 1.162308
4.453966 1.104967
4.538803 1.042857
4.623641 1.047533
4.708478 1.085499
4.793316 1.143025
4.878153 1.172849
4.962991 1.244957
5.047828 1.246566
5.132666 1.171847
5.217503 1.139050
5.302341 1.016579
5.387177 0.948584
5.472015 0.873937
5.556852 0.874970
5.641690 0.887492
5.726527 0.876852
5.811365 0.872077
5.896202 0.856611
5.981040 0.895795
6.065877 0.921301
6.150715 0.955743
6.235552 0.960817
6.320390 0.990071
6.405227 1.016416
6.490065 1.008294
6.574902 0.998729
6.659739 0.995672
6.744576 0.945811
6.829414 0.929702
6.914251 0.928925
6.999089 0.918517
7.083926 0.952027
7.168764 0.981229
7.253601 1.003288
7.338439 1.038970
7.423276 1.032822
7.508114 1.046249
7.592951 1.053697
7.677789 1.028744
7.762626 1.037388
7.847464 1.024260
7.932301 1.016271
8.017138 1.020730
8.101976 1.019837
8.186813 1.008069
8.271650 1.012041
8.356488 1.022665
8.441326 1.019526
8.526163 1.050682
8.611000 1.059572
8.695838 1.064334
8.780676 1.067843
8.865513 1.055636
8.950350 1.041862
9.035188 1.032749
9.120026 1.018410
9.204863 0.991923
9.289700 0.970696
9.374537 0.963364
9.459375 0.949588
9.544212 0.956652
9.629049 0.950639
9.713887 0.963020
9.798725 0.959852
9.883562 0.983288
9.968399 0.971243
10.053237 0.966865
10.138075 0.962199
10.222912 0.978627
10.307749 0.974720
10.392587 0.972857
10.477425 0.957582
10.562262 0.980731
10.647099 0.983784
10.731936 0.985095
10.816774 0.997453
10.901611 1.014491
10.986449 1.024058
11.071287 1.022084
11.156124 1.024448
11.240961 1.033254
11.325799 1.042614
11.410637 1.026913
11.495474 1.010786
11.580311 1.012243
11.665149 1.013178
11.749987 1.026343
11.834824 1.005700
11.919661 0.997239
12.004498 1.016721
12.089336 1.016009
12.174173 1.004885
12.259010 1.022311
12.343848 1.016733
12.428686 1.011300
12.513523 1.007496
12.598360 1.005495
12.683198 1.005304
12.768036 1.005363
12.852873 0.989900
12.937710 0.996723
13.022548 0.993891
13.107386 0.989502
13.192223 0.985099
13.277060 0.988324
13.361897 0.973349
13.446735 0.984889
13.531572 0.985257
13.616409 0.994167
13.701247 0.980378
13.786085 0.982913
13.870922 0.984089
13.955759 0.985808
14.040597 0.982780
14.125435 0.978623
14.210272 0.982468
14.295109 0.987031
14.379947 0.986265
14.464785 0.990229
14.549622 1.001885
14.634459 1.006277
14.719296 1.001829
14.804134 1.013928
14.888971 1.008307
14.973808 1.020808
15.058646 1.021995
15.143484 1.018716
15.228321 1.016900
15.313158 1.013293
15.397996 1.016563
15.482834 1.019721
15.567671 1.019358
15.652508 1.010529
15.737346 1.013226
15.822184 1.009057
15.907021 1.012779
15.991858 1.006006
16.076694 1.003180
16.161533 1.006013
16.246370 0.996007
16.331207 0.998493
16.416046 0.997922
16.500883 0.999697
16.585720 0.990796
16.670559 0.994760
16.755394 0.991228
16.840233 0.991931
16.925072 0.986832
