# RDF for density=0.5gcm3, timestep 811
# r	g(r)
0.067482 0.000000
0.202447 0.000000
0.337412 0.000000
0.472377 0.000000
0.607341 0.000000
0.742306 0.000000
0.877271 0.000000
1.012236 0.000000
1.147200 0.026873
1.282165 3.564787
1.417130 16.665997
1.552095 10.252577
1.687059 1.852598
1.822024 0.213212
1.956989 0.027724
2.091954 0.145581
2.226918 1.808166
2.361883 5.414660
2.496848 7.646402
2.631813 5.785337
2.766778 3.639383
2.901742 2.720170
3.036707 1.763349
3.171671 0.827015
3.306636 0.550431
3.441601 0.635639
3.576566 1.527716
3.711531 2.727628
3.846495 2.961533
3.981460 2.158923
4.116425 1.862995
4.251390 2.054121
4.386354 1.971375
4.521319 1.483094
4.656284 1.313994
4.791248 1.661546
4.926213 2.273008
5.061178 2.431677
5.196143 2.084965
5.331108 1.526037
5.466072 1.122188
5.601037 1.052204
5.736002 1.040219
5.870967 1.119635
6.005931 1.245900
6.140896 1.475598
6.275861 1.715448
6.410826 1.921958
6.545790 1.925873
6.680755 1.673269
6.815720 1.325665
6.950685 1.154980
7.085649 1.160299
7.220614 1.310187
7.355579 1.471082
7.490543 1.519625
7.625508 1.453520
7.760473 1.321591
7.895438 1.235331
8.030403 1.149683
8.165367 1.092167
8.300332 1.084015
8.435297 1.227735
8.570261 1.374960
8.705227 1.529199
8.840191 1.520465
8.975156 1.416195
9.110121 1.284095
9.245085 1.146354
9.380051 1.106627
9.515015 1.068420
9.649980 1.102243
9.784945 1.172011
9.919909 1.225369
10.054874 1.252346
10.189838 1.207116
10.324803 1.127279
10.459768 1.109698
10.594732 1.104528
10.729698 1.148776
10.864662 1.180004
10.999627 1.198541
11.134592 1.213824
11.269556 1.241795
11.404522 1.185085
11.539486 1.126416
11.674451 1.053855
11.809416 1.042678
11.944380 1.010974
12.079346 1.046183
12.214310 1.090984
12.349275 1.131436
12.484240 1.130946
12.619204 1.107554
12.754169 1.116088
12.889133 1.094547
13.024097 1.107876
13.159063 1.084793
13.294027 1.058134
13.428993 1.071328
13.563957 1.098496
13.698921 1.088457
13.833887 1.077067
13.968851 1.048368
14.103817 1.035106
14.238781 1.018552
14.373745 1.014189
14.508711 1.026635
14.643675 1.041426
14.778641 1.062264
14.913605 1.081766
15.048569 1.086671
15.183535 1.059508
15.318499 1.048865
15.453465 1.025088
15.588428 1.025881
15.723392 1.017264
15.858358 1.026163
15.993322 1.021888
16.128288 1.033609
16.263252 1.028321
16.398216 1.030143
16.533182 1.007969
16.668146 1.004884
16.803112 0.989707
16.938076 1.017660
17.073040 1.034458
17.208006 1.037876
17.342970 1.051724
17.477936 1.030550
17.612900 1.015896
17.747864 1.017831
17.882830 1.001624
18.017794 1.007355
18.152760 0.992206
18.287724 1.009035
18.422688 1.013799
18.557653 1.015061
18.692617 1.008594
18.827583 1.008685
18.962547 1.002239
19.097511 1.010132
19.232477 1.017423
19.367441 1.024300
19.502407 1.028806
19.637371 1.023269
19.772335 1.023639
19.907301 1.028613
20.042265 1.011955
20.177231 1.008931
20.312195 1.009479
20.447159 1.014664
20.582125 1.006761
20.717089 1.030230
20.852055 1.024257
20.987019 1.026571
21.121983 1.046231
21.256948 1.030966
21.391912 1.041723
21.526878 1.026970
21.661842 1.037266
21.796806 1.033651
21.931772 1.033541
22.066736 1.037202
22.201702 1.038874
22.336666 1.025118
22.471630 1.030671
22.606596 1.029847
22.741560 1.029484
22.876526 1.021797
23.011490 1.029367
23.146454 1.032955
23.281420 1.022290
23.416384 1.034237
23.551350 1.030388
23.686314 1.024316
23.821278 1.015309
23.956244 1.011221
24.091208 1.007577
24.226173 1.009553
24.361137 1.009810
24.496101 1.003438
24.631067 1.004049
24.766031 1.011427
24.900997 1.004325
25.035961 0.995232
25.170925 1.000438
25.305891 0.998714
25.440855 1.003489
25.575821 1.000935
25.710785 1.002734
25.845749 0.992925
25.980713 0.997061
26.115679 1.001465
26.250645 0.988823
26.385609 0.992123
26.520573 0.981199
26.655537 0.992401
26.790503 0.989100
26.925468 0.996274
