# RDF for density=1.4gcm3, timestep 625
# r	g(r)
0.047806 0.000000
0.143417 0.000000
0.239028 0.000000
0.334639 0.000000
0.430250 0.000000
0.525861 0.000000
0.621472 0.000000
0.717083 0.000000
0.812694 0.000000
0.908306 0.000000
1.003917 0.000000
1.099528 0.000000
1.195139 0.058288
1.290750 1.252980
1.386361 5.300936
1.481972 6.069198
1.577583 2.896713
1.673195 0.656550
1.768806 0.178724
1.864417 0.047918
1.960028 0.013936
2.055639 0.009855
2.151250 0.149116
2.246861 0.802508
2.342472 1.727137
2.438083 2.692278
2.533695 2.712577
2.629306 2.178123
2.724917 1.544012
2.820528 1.150202
2.916139 0.984371
3.011750 0.758891
3.107361 0.469524
3.202972 0.304468
3.298584 0.218176
3.394195 0.237045
3.489806 0.385938
3.585417 0.713672
3.681028 1.029675
3.776639 1.247052
3.872250 1.244959
3.967861 1.052474
4.063473 0.895792
4.159083 0.955172
4.254695 1.051427
4.350306 1.084318
4.445917 0.993033
4.541528 0.854734
4.637139 0.821238
4.732750 0.849751
4.828362 1.077520
4.923972 1.208596
5.019584 1.339866
5.115195 1.353912
5.210806 1.258016
5.306417 1.077011
5.402028 0.927086
5.497640 0.864213
5.593250 0.864401
5.688862 0.884677
5.784472 0.883237
5.880084 0.872471
5.975695 0.954082
6.071306 0.989319
6.166917 1.056665
6.262528 1.135392
6.358139 1.224106
6.453751 1.278531
6.549361 1.257426
6.644973 1.199000
6.740583 1.107082
6.836195 0.974606
6.931806 0.896272
7.027417 0.903254
7.123028 0.940145
7.218639 0.987460
7.314251 1.035659
7.409862 1.051151
7.505473 1.090241
7.601084 1.046507
7.696695 1.014643
7.792306 0.991661
7.887918 0.960404
7.983528 0.920079
8.079140 0.889871
8.174750 0.884659
8.270362 0.869627
8.365973 0.905390
8.461584 0.938385
8.557196 1.004971
8.652806 1.057023
8.748417 1.091896
8.844028 1.110165
8.939640 1.073755
9.035251 1.033277
9.130861 0.989783
9.226473 0.958395
9.322084 0.934874
9.417695 0.929965
9.513306 0.934185
9.608917 0.930989
9.704529 0.971560
9.800139 0.985086
9.895750 1.032138
9.991362 1.049424
10.086973 1.036244
10.182584 1.031784
10.278195 1.004964
10.373806 0.998364
10.469418 0.991414
10.565029 0.989442
10.660640 1.013203
10.756250 1.026085
10.851862 1.024192
10.947474 1.038262
11.043084 1.049386
11.138695 1.057308
11.234306 1.058515
11.329918 1.061363
11.425529 1.049222
11.521139 1.021674
11.616751 1.021227
11.712362 0.978955
11.807973 0.960508
11.903584 0.952711
11.999195 0.964151
12.094807 0.970415
12.190417 0.982823
12.286029 1.000349
12.381639 1.004954
12.477251 1.021210
12.572863 1.016510
12.668473 1.011895
12.764084 1.005310
12.859695 1.003539
12.955307 1.007510
13.050918 0.999430
13.146528 0.988568
13.242140 0.978782
13.337751 0.982569
13.433362 0.984680
13.528973 0.998807
13.624584 0.990968
13.720196 1.009991
13.815806 1.009755
13.911417 1.008412
14.007029 0.986342
14.102640 0.977843
14.198251 0.972794
14.293862 0.970832
14.389473 0.965197
14.485085 0.980447
14.580696 0.977489
14.676307 0.994237
14.771917 1.016235
14.867529 1.031907
14.963140 1.018851
15.058751 1.034373
15.154362 1.021113
15.249973 1.022743
15.345585 1.009720
15.441195 1.008700
15.536806 0.994806
15.632418 0.989602
15.728029 1.002611
15.823640 0.999880
15.919250 0.995101
16.014862 0.997673
16.110474 1.007764
16.206085 1.010314
16.301695 1.013429
16.397306 1.000414
16.492918 0.995382
16.588530 0.992912
16.684139 0.981680
16.779751 0.983518
16.875362 0.987238
16.970974 0.994245
17.066586 0.996227
17.162195 0.996871
17.257807 1.013115
17.353418 1.012020
17.449028 1.005854
17.544640 1.009052
17.640251 0.994322
17.735863 0.994448
17.831474 0.988462
17.927084 0.984235
18.022696 0.982313
18.118307 0.983402
18.213917 0.983364
18.309528 0.988451
18.405140 0.985935
18.500751 0.994631
18.596363 1.000459
18.691975 1.003464
18.787584 1.003484
18.883196 0.996105
18.978807 0.994791
19.074417 1.002793
