# RDF for density=1.8gcm3, timestep 796
# r	g(r)
0.043944 0.000000
0.131832 0.000000
0.219719 0.000000
0.307607 0.000000
0.395495 0.000000
0.483383 0.000000
0.571270 0.000000
0.659158 0.000000
0.747046 0.000000
0.834934 0.000000
0.922822 0.000000
1.010709 0.000000
1.098597 0.000000
1.186485 0.035746
1.274373 0.563978
1.362260 3.528272
1.450148 5.207833
1.538036 3.231931
1.625924 1.028119
1.713811 0.296470
1.801699 0.075980
1.889587 0.011278
1.977475 0.003862
2.065362 0.011800
2.153250 0.156340
2.241138 0.605341
2.329026 1.258390
2.416914 1.936371
2.504801 2.192826
2.592689 1.891674
2.680577 1.294679
2.768465 0.953034
2.856352 0.900229
2.944240 0.733467
3.032128 0.551391
3.120016 0.378034
3.207903 0.282268
3.295791 0.295686
3.383679 0.311745
3.471567 0.406021
3.559454 0.674292
3.647342 0.917306
3.735230 1.208776
3.823118 1.251315
3.911005 1.164114
3.998893 1.048341
4.086781 1.020616
4.174669 1.068224
4.262557 1.173697
4.350444 1.166921
4.438332 1.101231
4.526220 1.040942
4.614108 1.012781
4.701995 1.033795
4.789883 1.109652
4.877771 1.211157
4.965659 1.345680
5.053546 1.365123
5.141434 1.302283
5.229322 1.227765
5.317210 1.065895
5.405097 0.978613
5.492985 0.934533
5.580873 0.900806
5.668761 0.925261
5.756649 0.925328
5.844536 0.924829
5.932424 0.906356
6.020312 0.938563
6.108200 0.945617
6.196087 0.991762
6.283975 1.054731
6.371863 1.071100
6.459751 1.108144
6.547638 1.087756
6.635526 1.073423
6.723414 0.971041
6.811302 0.902735
6.899189 0.863384
6.987077 0.847058
7.074965 0.852596
7.162853 0.875368
7.250741 0.939793
7.338628 0.957520
7.426516 0.978989
7.514404 0.987517
7.602292 1.005497
7.690179 0.974729
7.778067 0.950744
7.865955 0.969896
7.953843 0.976590
8.041731 0.965871
8.129618 0.960716
8.217506 0.951157
8.305393 0.960259
8.393282 0.998426
8.481169 1.008357
8.569057 1.070600
8.656944 1.101643
8.744833 1.138067
8.832720 1.145799
8.920609 1.127825
9.008495 1.115045
9.096384 1.072306
9.184271 1.043706
9.272160 1.005627
9.360046 1.008896
9.447935 1.017682
9.535822 0.985555
9.623711 0.967311
9.711597 0.982815
9.799486 1.004899
9.887373 1.007352
9.975262 1.021457
10.063148 1.011196
10.151037 1.007004
10.238924 0.987245
10.326813 0.976390
10.414700 0.964112
10.502588 0.956463
10.590475 0.946895
10.678364 0.958082
10.766251 0.967827
10.854139 0.969438
10.942026 0.975119
11.029915 0.980665
11.117802 0.989131
11.205690 0.996647
11.293577 0.995880
11.381466 1.006991
11.469353 1.006730
11.557241 0.989707
11.645128 0.978726
11.733017 0.975417
11.820904 0.968132
11.908792 0.959865
11.996679 0.964140
12.084568 0.979548
12.172455 0.993380
12.260344 1.016832
12.348230 1.010648
12.436119 1.036261
12.524006 1.030768
12.611895 1.036057
12.699781 1.035322
12.787670 1.032361
12.875557 1.036988
12.963446 1.029869
13.051332 1.040718
13.139221 1.036854
13.227108 1.017416
13.314997 1.012039
13.402884 0.998392
13.490772 1.010542
13.578659 1.024534
13.666548 1.023865
13.754435 1.017318
13.842323 1.012021
13.930210 1.003983
14.018099 0.988156
14.105986 0.991641
14.193874 0.966435
14.281761 0.976686
14.369650 0.969633
14.457537 0.959109
14.545425 0.974560
14.633312 0.966180
14.721201 0.962391
14.809088 0.973821
14.896976 0.994132
14.984863 0.992069
15.072752 1.000758
15.160639 0.998637
15.248528 0.996491
15.336414 0.990733
15.424303 0.982056
15.512190 0.977548
15.600079 0.998134
15.687965 0.977310
15.775854 0.990583
15.863741 0.996700
15.951630 0.991574
16.039516 1.005073
16.127405 1.000372
16.215292 1.018983
16.303181 1.026374
16.391068 1.022592
16.478956 1.014722
16.566843 1.017634
16.654732 1.014614
16.742619 1.014899
16.830507 1.008396
16.918394 1.007746
17.006283 1.009330
17.094170 1.020369
17.182058 1.016071
17.269945 1.021300
17.357834 1.026676
17.445721 1.025280
17.533609 1.011958
