# RDF for density=1.2gcm3, timestep 812
# r	g(r)
0.050339 0.000000
0.151018 0.000000
0.251697 0.000000
0.352376 0.000000
0.453054 0.000000
0.553733 0.000000
0.654412 0.000000
0.755090 0.000000
0.855769 0.000000
0.956448 0.000000
1.057127 0.000000
1.157805 0.014744
1.258484 0.561622
1.359163 4.883147
1.459841 7.560186
1.560520 3.872471
1.661199 1.093772
1.761878 0.220801
1.862556 0.043696
1.963235 0.015390
2.063914 0.010831
2.164593 0.251803
2.265271 1.112356
2.365950 2.330272
2.466629 3.319386
2.567307 3.025183
2.667986 2.189106
2.768665 1.519447
2.869344 1.298611
2.970022 1.005821
3.070701 0.693483
3.171380 0.455501
3.272058 0.335550
3.372737 0.310603
3.473416 0.449122
3.574095 0.798302
3.674774 1.220853
3.775452 1.481721
3.876131 1.482535
3.976810 1.147077
4.077488 1.067745
4.178167 1.134341
4.278846 1.230294
4.379525 1.226624
4.480204 1.060125
4.580882 0.947446
4.681561 0.926379
4.782239 1.067656
4.882918 1.319083
4.983597 1.482113
5.084276 1.559674
5.184955 1.400378
5.285633 1.238300
5.386312 1.042019
5.486991 0.923555
5.587669 0.935761
5.688348 0.908021
5.789027 0.939269
5.889706 0.934033
5.990384 0.977853
6.091063 1.041572
6.191742 1.154469
6.292420 1.258016
6.393099 1.322571
6.493778 1.352694
6.594457 1.296556
6.695135 1.197992
6.795814 1.073837
6.896493 0.977428
6.997171 0.953004
7.097850 0.966075
7.198529 1.015186
7.299208 1.067804
7.399886 1.122008
7.500566 1.157942
7.601244 1.136605
7.701922 1.067740
7.802601 1.029106
7.903280 1.008220
8.003959 0.967275
8.104637 0.973002
8.205317 0.948487
8.305995 0.952570
8.406673 1.015159
8.507353 1.070337
8.608031 1.121102
8.708710 1.168784
8.809389 1.183975
8.910067 1.168334
9.010746 1.113455
9.111425 1.068110
9.212103 1.019412
9.312782 0.994972
9.413462 0.967563
9.514139 0.969993
9.614819 0.976738
9.715497 1.005759
9.816175 1.014319
9.916855 1.042962
10.017533 1.066566
10.118212 1.056341
10.218891 1.035154
10.319570 1.011889
10.420248 1.005766
10.520927 1.002095
10.621605 0.994582
10.722284 1.008208
10.822964 1.026747
10.923641 1.031113
11.024321 1.065673
11.125000 1.050422
11.225677 1.056935
11.326357 1.061803
11.427036 1.036676
11.527714 1.025294
11.628393 0.989529
11.729072 0.969777
11.829750 0.968988
11.930429 0.967620
12.031108 0.968148
12.131786 0.976035
12.232466 0.989352
12.333144 1.009570
12.433823 1.026539
12.534502 1.015106
12.635180 1.015473
12.735859 1.006012
12.836538 1.012191
12.937216 0.996100
13.037895 0.988681
13.138575 1.000559
13.239252 0.996305
13.339931 0.995251
13.440610 0.994106
13.541288 1.003187
13.641968 1.003952
13.742646 1.008345
13.843325 0.996080
13.944004 0.995242
14.044683 0.981049
14.145361 0.971494
14.246040 0.963428
14.346718 0.962831
14.447397 0.958200
14.548077 0.975917
14.648754 0.993489
14.749434 0.989201
14.850113 1.004546
14.950790 1.001351
15.051470 1.001160
15.152149 1.004246
15.252827 1.003854
15.353506 0.992216
15.454185 0.982273
15.554863 0.975873
15.655542 0.979273
15.756221 0.972046
15.856899 0.977540
15.957579 0.978942
16.058258 0.982980
16.158936 0.995959
16.259613 0.981923
16.360294 0.983299
16.460972 0.980747
16.561649 0.974011
16.662331 0.970841
16.763008 0.977532
16.863686 0.977902
16.964367 0.972039
17.065044 0.987714
17.165722 0.980170
17.266403 0.993368
17.367081 0.993480
17.467758 0.988782
17.568438 0.989788
17.669117 0.989112
17.769794 0.980135
17.870474 0.980042
17.971153 0.971110
18.071831 0.972383
18.172510 0.963648
18.273190 0.973139
18.373867 0.976069
18.474546 0.979667
18.575226 0.985867
18.675903 0.984170
18.776583 0.985874
18.877262 0.981211
18.977940 0.977041
19.078619 0.985991
19.179298 0.982123
19.279976 0.977404
19.380653 0.978863
19.481335 0.992465
19.582012 0.981427
19.682690 0.989905
19.783371 0.986154
19.884048 0.995402
19.984726 0.987376
20.085407 0.986476
