# RDF for density=1.9gcm3, timestep 663
# r	g(r)
0.043155 0.000000
0.129464 0.000000
0.215773 0.000000
0.302082 0.000000
0.388391 0.000000
0.474700 0.000000
0.561009 0.000000
0.647318 0.000000
0.733627 0.000000
0.819936 0.000000
0.906245 0.000000
0.992554 0.000000
1.078863 0.000000
1.165172 0.010727
1.251482 0.291376
1.337790 2.387274
1.424100 5.058623
1.510409 3.754380
1.596718 1.531231
1.683027 0.418272
1.769336 0.082208
1.855645 0.016922
1.941954 0.006438
2.028263 0.002361
2.114572 0.033667
2.200881 0.373944
2.287190 0.867035
2.373499 1.646472
2.459808 2.074720
2.546118 1.953692
2.632427 1.563486
2.718736 1.069623
2.805045 0.852368
2.891354 0.798755
2.977663 0.636462
3.063972 0.456264
3.150281 0.332759
3.236590 0.291605
3.322899 0.302605
3.409208 0.349737
3.495517 0.514324
3.581826 0.732860
3.668135 1.044924
3.754445 1.262038
3.840754 1.273452
3.927063 1.157311
4.013371 1.085159
4.099681 1.054977
4.185989 1.170182
4.272299 1.198677
4.358608 1.232719
4.444917 1.138363
4.531226 1.041245
4.617535 1.021355
4.703844 1.072026
4.790154 1.092794
4.876462 1.234997
4.962771 1.361994
5.049081 1.357174
5.135389 1.354112
5.221699 1.219946
5.308008 1.084062
5.394317 0.973046
5.480626 0.901249
5.566935 0.893580
5.653244 0.897657
5.739553 0.900489
5.825862 0.884743
5.912171 0.875776
5.998480 0.886661
6.084789 0.909295
6.171099 0.972805
6.257407 0.987584
6.343717 1.058045
6.430026 1.062130
6.516335 1.062207
6.602644 1.042194
6.688952 0.986925
6.775262 0.893271
6.861571 0.844228
6.947880 0.815838
7.034189 0.827744
7.120498 0.860483
7.206807 0.899557
7.293117 0.945829
7.379425 0.979307
7.465734 1.000668
7.552043 1.011134
7.638352 1.012974
7.724662 1.003812
7.810970 1.005394
7.897280 0.998017
7.983589 0.990051
8.069898 0.998289
8.156207 0.977710
8.242516 0.979585
8.328825 0.985841
8.415134 1.030407
8.501443 1.073288
8.587752 1.112275
8.674061 1.147774
8.760370 1.157723
8.846680 1.148278
8.932989 1.136734
9.019298 1.115907
9.105606 1.076710
9.191916 1.027483
9.278225 1.010261
9.364534 0.992128
9.450843 0.973152
9.537152 0.964322
9.623461 0.967249
9.709770 0.966864
9.796080 0.988730
9.882388 1.003749
9.968698 1.017432
10.055006 0.994333
10.141315 0.978363
10.227625 0.971312
10.313933 0.940936
10.400243 0.925520
10.486551 0.916476
10.572861 0.921899
10.659170 0.925279
10.745480 0.939215
10.831788 0.961386
10.918097 0.961006
11.004406 0.970486
11.090715 0.972221
11.177025 0.985149
11.263333 0.998503
11.349642 1.012683
11.435951 1.000821
11.522261 0.997550
11.608570 0.982247
11.694879 0.990622
11.781188 0.975607
11.867496 0.978198
11.953806 0.978257
12.040115 1.006939
12.126424 1.019725
12.212733 1.046787
12.299042 1.044324
12.385351 1.057294
12.471661 1.055461
12.557969 1.054110
12.644279 1.050490
12.730587 1.051488
12.816896 1.038467
12.903206 1.041736
12.989515 1.044825
13.075824 1.036669
13.162132 1.031251
13.248442 1.017601
13.334751 1.015421
13.421061 1.006692
13.507369 1.003387
13.593678 1.006075
13.679987 1.011443
13.766296 1.001731
13.852606 0.988151
13.938914 0.980262
14.025224 0.973895
14.111532 0.960217
14.197842 0.965013
14.284151 0.950327
14.370460 0.959069
14.456769 0.958375
14.543077 0.954991
14.629387 0.951925
14.715696 0.966494
14.802006 0.973796
14.888314 0.976169
14.974623 0.976151
15.060932 0.988042
15.147242 0.988390
15.233551 0.990511
15.319860 0.990569
15.406168 0.985169
15.492477 0.995820
15.578787 1.000888
15.665096 0.999264
15.751405 1.001102
15.837714 1.006813
15.924023 1.012353
16.010332 1.023202
16.096642 1.024260
16.182949 1.032344
16.269260 1.034414
16.355568 1.038162
16.441877 1.029806
16.528187 1.023417
16.614494 1.023454
16.700806 1.017361
16.787113 1.020227
16.873423 1.010006
16.959732 1.019982
17.046040 1.013008
17.132351 1.016065
17.218658 1.028264
