# RDF for density=2.0gcm3, timestep 766
# r	g(r)
0.042419 0.000000
0.127256 0.000000
0.212094 0.000000
0.296931 0.000000
0.381768 0.000000
0.466606 0.000000
0.551443 0.000000
0.636281 0.000000
0.721118 0.000000
0.805956 0.000000
0.890793 0.000000
0.975631 0.000000
1.060468 0.000000
1.145306 0.000000
1.230143 0.139530
1.314980 1.582044
1.399818 4.219578
1.484655 4.287746
1.569493 2.099406
1.654330 0.591587
1.739168 0.138089
1.824005 0.033855
1.908842 0.005152
1.993680 0.005904
2.078517 0.007604
2.163355 0.165467
2.248192 0.607293
2.333030 1.245139
2.417867 1.802378
2.502705 2.002233
2.587542 1.686634
2.672379 1.269737
2.757217 0.913744
2.842054 0.834443
2.926892 0.706233
3.011729 0.617332
3.096567 0.438590
3.181404 0.396962
3.266242 0.372650
3.351079 0.400835
3.435916 0.495393
3.520754 0.650912
3.605591 0.944143
3.690429 1.224853
3.775266 1.365056
3.860104 1.352335
3.944941 1.223920
4.029778 1.150384
4.114616 1.141421
4.199453 1.183868
4.284291 1.235391
4.369128 1.211486
4.453966 1.155365
4.538803 1.057667
4.623641 0.977053
4.708478 1.050353
4.793316 1.105639
4.878153 1.211510
4.962991 1.251246
5.047828 1.298146
5.132666 1.253094
5.217503 1.149051
5.302341 1.026262
5.387177 0.934675
5.472015 0.889613
5.556852 0.856425
5.641690 0.842660
5.726527 0.851947
5.811365 0.833647
5.896202 0.848983
5.981040 0.853676
6.065877 0.863513
6.150715 0.909960
6.235552 0.961180
6.320390 0.999824
6.405227 1.030202
6.490065 1.030080
6.574902 1.061489
6.659739 1.006573
6.744576 0.951899
6.829414 0.896290
6.914251 0.862651
6.999089 0.872237
7.083926 0.899365
7.168764 0.950814
7.253601 0.996151
7.338439 1.040887
7.423276 1.064765
7.508114 1.093961
7.592951 1.089438
7.677789 1.076002
7.762626 1.052149
7.847464 1.030129
7.932301 1.038800
8.017138 1.032853
8.101976 1.009182
8.186813 0.999805
8.271650 1.009983
8.356488 1.010767
8.441326 1.030000
8.526163 1.051844
8.611000 1.066029
8.695838 1.104186
8.780676 1.106989
8.865513 1.089020
8.950350 1.064538
9.035188 1.043818
9.120026 1.009860
9.204863 0.990926
9.289700 0.957288
9.374537 0.933587
9.459375 0.932906
9.544212 0.930938
9.629049 0.932667
9.713887 0.941082
9.798725 0.943573
9.883562 0.955658
9.968399 0.977856
10.053237 0.978151
10.138075 0.973388
10.222912 0.961537
10.307749 0.947396
10.392587 0.958385
10.477425 0.952665
10.562262 0.951195
10.647099 0.963661
10.731936 0.984443
10.816774 0.983652
10.901611 1.019586
10.986449 1.010525
11.071287 1.031179
11.156124 1.040854
11.240961 1.059350
11.325799 1.068705
11.410637 1.065253
11.495474 1.050054
11.580311 1.038967
11.665149 1.026252
11.749987 1.022416
11.834824 1.005097
11.919661 1.006770
12.004498 0.997552
12.089336 0.997638
12.174173 1.012043
12.259010 1.017845
12.343848 1.019906
12.428686 1.018502
12.513523 1.019472
12.598360 1.016423
12.683198 1.006967
12.768036 0.998913
12.852873 0.999675
12.937710 0.991101
13.022548 0.976578
13.107386 0.974857
13.192223 0.978990
13.277060 0.975250
13.361897 0.970970
13.446735 0.965601
13.531572 0.978258
13.616409 0.967660
13.701247 0.988129
13.786085 0.979974
13.870922 0.986065
13.955759 0.988411
14.040597 0.981113
14.125435 0.978317
14.210272 0.977702
14.295109 0.964141
14.379947 0.983995
14.464785 0.983902
14.549622 0.994456
14.634459 1.001532
14.719296 1.012023
14.804134 1.019989
14.888971 1.029577
14.973808 1.039859
15.058646 1.038803
15.143484 1.033228
15.228321 1.041554
15.313158 1.035853
15.397996 1.030540
15.482834 1.022570
15.567671 1.012531
15.652508 1.016295
15.737346 1.001930
15.822184 1.010857
15.907021 1.005266
15.991858 1.014284
16.076694 1.006494
16.161533 1.005016
16.246370 1.008073
16.331207 0.994524
16.416046 0.992357
16.500883 0.993103
16.585720 0.984534
16.670559 0.978612
16.755394 0.977609
16.840233 0.974461
16.925072 0.969365
