# RDF for density=0.6gcm3, timestep 662
# r	g(r)
0.063489 0.000000
0.190466 0.000000
0.317443 0.000000
0.444420 0.000000
0.571397 0.000000
0.698375 0.000000
0.825352 0.000000
0.952329 0.000000
1.079306 0.000000
1.206284 0.294282
1.333261 7.116482
1.460238 14.909400
1.587215 5.744153
1.714193 0.842772
1.841170 0.098644
1.968147 0.026978
2.095124 0.083329
2.222101 1.422338
2.349079 4.515283
2.476056 6.374103
2.603033 5.437424
2.730010 3.400828
2.856987 2.494482
2.983965 1.785480
3.110942 1.030347
3.237919 0.490520
3.364896 0.376656
3.491874 0.750964
3.618851 1.644223
3.745828 2.460657
3.872805 2.430194
3.999783 1.758263
4.126760 1.545547
4.253737 1.774134
4.380714 1.731604
4.507691 1.323166
4.634668 1.040452
4.761646 1.336559
4.888623 1.769730
5.015600 2.149997
5.142577 2.056990
5.269555 1.583741
5.396532 1.082222
5.523509 0.909010
5.650486 0.963887
5.777463 0.988383
5.904441 0.994603
6.031418 1.085066
6.158395 1.325515
6.285373 1.529164
6.412350 1.697768
6.539327 1.766800
6.666304 1.565589
6.793282 1.220490
6.920259 1.005858
7.047235 1.012241
7.174213 1.105094
7.301190 1.269953
7.428167 1.364455
7.555144 1.319891
7.682122 1.255366
7.809099 1.145271
7.936076 1.090664
8.063053 1.025224
8.190031 0.965478
8.317008 0.968857
8.443985 1.117055
8.570963 1.293674
8.697939 1.391039
8.824917 1.448472
8.951895 1.347545
9.078871 1.221467
9.205849 1.096229
9.332826 1.033710
9.459803 1.006385
9.586781 1.014370
9.713757 1.062585
9.840734 1.150189
9.967712 1.201677
10.094688 1.166816
10.221666 1.126592
10.348644 1.070912
10.475620 1.045777
10.602598 1.055658
10.729575 1.125884
10.856552 1.140776
10.983530 1.146182
11.110506 1.182038
11.237484 1.182783
11.364462 1.176586
11.491438 1.124916
11.618416 1.051834
11.745393 1.000255
11.872370 1.009391
11.999348 1.006728
12.126325 1.056201
12.253302 1.094728
12.380280 1.100212
12.507256 1.117548
12.634233 1.100299
12.761211 1.105675
12.888187 1.089343
13.015165 1.086030
13.142142 1.072762
13.269119 1.071753
13.396097 1.070288
13.523073 1.074864
13.650051 1.084347
13.777029 1.091398
13.904005 1.068308
14.030983 1.025640
14.157960 1.014935
14.284937 1.014244
14.411915 1.018794
14.538892 1.036532
14.665869 1.057599
14.792847 1.085144
14.919823 1.087178
15.046801 1.085895
15.173779 1.072025
15.300755 1.050999
15.427732 1.039967
15.554709 1.029311
15.681686 1.025216
15.808664 1.030482
15.935640 1.043230
16.062618 1.038997
16.189594 1.035196
16.316574 1.041063
16.443550 1.027960
16.570526 1.013465
16.697506 1.012926
16.824482 1.020641
16.951458 1.030856
17.078436 1.035388
17.205414 1.047691
17.332390 1.045790
17.459368 1.045967
17.586346 1.032457
17.713322 1.024652
17.840300 1.001692
17.967278 1.015064
18.094254 1.017679
18.221230 1.007684
18.348209 1.003535
18.475185 1.013358
18.602161 1.021790
18.729141 1.017249
18.856117 1.020452
18.983093 1.004400
19.110073 1.004150
19.237049 1.014454
19.364025 1.016233
19.491003 1.015490
19.617981 1.013805
19.744957 1.017623
19.871935 1.017595
19.998913 1.012170
20.125889 1.007649
20.252867 0.996647
20.379845 0.990973
20.506821 0.995320
20.633799 0.993210
20.760777 0.994913
20.887753 1.005896
21.014729 1.000835
21.141708 1.003565
21.268684 0.995602
21.395660 1.010734
21.522640 0.993276
21.649616 0.999879
21.776592 0.996752
21.903570 0.993006
22.030548 0.994565
22.157524 0.997761
22.284502 0.987936
22.411480 0.990697
22.538456 0.983496
22.665434 0.980860
22.792412 0.983932
22.919388 0.983048
23.046366 0.988532
23.173344 0.985757
23.300320 0.989720
23.427296 0.987005
23.554276 0.992392
23.681252 0.987476
23.808228 0.990618
23.935207 0.982124
24.062183 0.979446
24.189159 0.981615
24.316139 0.984255
24.443115 0.979407
24.570091 0.980159
24.697069 0.977995
24.824047 0.976692
24.951023 0.981834
25.078001 0.979800
25.204979 0.975353
25.331955 0.981364
