# RDF for density=1.1gcm3, timestep 306
# r	g(r)
0.051828 0.000000
0.155484 0.000000
0.259141 0.000000
0.362797 0.000000
0.466453 0.000000
0.570109 0.000000
0.673766 0.000000
0.777422 0.000000
0.881078 0.000000
0.984735 0.000000
1.088391 0.000000
1.192047 0.103164
1.295703 1.796426
1.399359 7.187898
1.503016 7.003722
1.606672 2.493985
1.710328 0.546653
1.813985 0.127331
1.917641 0.036081
2.021297 0.010256
2.124953 0.120636
2.228610 0.850702
2.332266 2.105642
2.435922 3.313250
2.539578 3.474995
2.643235 2.447105
2.746891 1.757756
2.850547 1.425972
2.954203 1.127597
3.057860 0.734998
3.161516 0.487746
3.265172 0.324938
3.368829 0.304636
3.472485 0.438481
3.576141 0.812119
3.679797 1.218864
3.783453 1.523345
3.887110 1.425156
3.990766 1.099035
4.094422 1.024515
4.198079 1.076802
4.301735 1.186705
4.405391 1.134758
4.509048 0.970505
4.612703 0.917531
4.716360 0.968706
4.820016 1.116897
4.923673 1.306626
5.027328 1.460849
5.130985 1.445137
5.234641 1.243432
5.338298 1.077475
5.441954 0.927618
5.545610 0.873960
5.649266 0.867353
5.752923 0.919958
5.856579 0.947346
5.960235 0.964822
6.063891 1.023296
6.167547 1.141049
6.271204 1.214822
6.374860 1.294059
6.478517 1.352168
6.582172 1.322494
6.685829 1.258991
6.789485 1.098256
6.893142 0.996237
6.996798 0.974786
7.100454 0.987128
7.204110 1.067267
7.307767 1.112674
7.411423 1.158319
7.515079 1.155906
7.618735 1.115636
7.722391 1.056606
7.826048 1.025721
7.929704 1.020855
8.033360 0.962746
8.137016 0.954841
8.240673 0.945669
8.344330 0.988237
8.447985 1.014738
8.551641 1.081400
8.655298 1.134538
8.758954 1.160916
8.862610 1.142914
8.966267 1.126360
9.069923 1.063495
9.173579 1.008048
9.277235 0.997588
9.380892 0.960653
9.484549 0.946923
9.588204 0.976240
9.691860 0.981430
9.795517 1.006114
9.899174 1.037125
10.002829 1.045620
10.106485 1.035354
10.210142 1.033474
10.313798 1.006099
10.417454 0.984708
10.521111 0.989619
10.624767 1.000983
10.728423 1.020078
10.832079 1.043993
10.935736 1.040295
11.039392 1.049973
11.143048 1.052741
11.246704 1.071124
11.350361 1.065847
11.454018 1.034644
11.557673 1.016014
11.661329 0.984617
11.764986 0.972647
11.868642 0.962719
11.972298 0.973272
12.075954 0.976694
12.179611 1.000669
12.283267 1.011113
12.386923 1.022195
12.490580 1.021969
12.594236 1.008793
12.697892 1.014755
12.801548 1.002191
12.905205 0.985267
13.008862 0.999681
13.112517 1.004898
13.216173 1.000200
13.319830 0.984223
13.423486 0.997913
13.527142 1.003565
13.630798 1.009650
13.734455 1.003845
13.838111 0.996019
13.941767 0.983286
14.045424 0.981975
14.149080 0.964958
14.252736 0.963398
14.356392 0.963844
14.460049 0.975089
14.563705 0.986460
14.667361 0.985124
14.771017 0.992257
14.874674 0.995168
14.978331 1.020808
15.081985 1.010725
15.185642 1.005444
15.289299 0.998680
15.392955 0.998828
15.496611 0.986243
15.600267 0.977764
15.703924 0.991616
15.807580 0.983206
15.911236 0.984982
16.014893 0.997838
16.118549 0.997467
16.222206 0.988680
16.325861 0.983414
16.429518 0.984647
16.533175 0.991252
16.636829 0.976934
16.740486 0.973625
16.844143 0.983809
16.947800 0.985295
17.051455 0.988033
17.155111 0.992477
17.258768 1.004674
17.362423 1.001601
17.466080 0.998976
17.569736 0.990951
17.673393 0.990698
17.777050 0.982018
17.880705 0.985177
17.984362 0.974808
18.088018 0.981602
18.191673 0.979002
18.295330 0.977361
18.398987 0.980244
18.502644 0.988204
18.606298 0.993854
18.709955 0.989079
18.813612 0.996892
18.917267 0.990589
19.020924 0.981635
19.124580 0.976770
19.228237 0.988016
19.331894 0.989792
19.435549 0.991629
19.539206 0.996570
19.642862 0.992533
19.746517 1.004407
19.850174 0.991271
19.953831 0.991530
20.057487 1.000479
20.161142 0.990326
20.264799 0.990498
20.368456 0.980510
20.472111 0.979897
20.575768 0.985032
20.679424 0.985192
