# RDF for density=1.6gcm3, timestep 839
# r	g(r)
0.045713 0.000000
0.137140 0.000000
0.228567 0.000000
0.319994 0.000000
0.411421 0.000000
0.502848 0.000000
0.594275 0.000000
0.685702 0.000000
0.777129 0.000000
0.868556 0.000000
0.959983 0.000000
1.051410 0.000000
1.142837 0.000000
1.234264 0.232199
1.325691 2.180109
1.417118 5.593827
1.508545 4.611262
1.599972 1.949793
1.691399 0.409075
1.782826 0.085629
1.874253 0.024794
1.965680 0.004226
2.057107 0.003859
2.148534 0.125002
2.239961 0.631458
2.331388 1.406190
2.422815 2.201668
2.514242 2.484537
2.605669 2.035835
2.697096 1.404726
2.788523 1.050187
2.879950 0.893333
2.971377 0.721436
3.062804 0.513032
3.154231 0.349112
3.245658 0.237731
3.337085 0.198973
3.428512 0.257514
3.519938 0.409967
3.611366 0.690450
3.702793 1.010574
3.794219 1.159496
3.885646 1.165070
3.977074 0.930382
4.068501 0.842007
4.159927 0.896012
4.251354 1.013321
4.342781 1.040960
4.434208 1.005959
4.525635 0.923463
4.617063 0.897463
4.708489 0.941537
4.799916 1.044728
4.891343 1.203787
4.982770 1.339604
5.074197 1.406171
5.165624 1.305624
5.257051 1.252726
5.348478 1.108816
5.439905 0.995700
5.531332 0.954157
5.622759 0.967984
5.714186 0.972098
5.805613 1.011027
5.897040 1.005753
5.988467 0.968595
6.079894 1.002430
6.171321 1.073304
6.262748 1.112295
6.354175 1.121237
6.445602 1.200264
6.537029 1.211135
6.628456 1.173495
6.719883 1.105120
6.811310 0.983421
6.902737 0.918463
6.994164 0.876356
7.085590 0.885983
7.177018 0.904146
7.268445 0.928948
7.359872 0.976365
7.451299 0.990310
7.542726 0.986928
7.634152 0.969879
7.725579 0.957178
7.817007 0.901691
7.908433 0.918482
7.999861 0.901432
8.091288 0.880099
8.182714 0.878268
8.274141 0.858250
8.365568 0.871103
8.456995 0.912508
8.548422 0.976092
8.639849 1.025408
8.731277 1.045548
8.822703 1.076099
8.914130 1.078942
9.005557 1.062050
9.096984 1.015809
9.188411 1.028195
9.279839 0.995128
9.371265 0.991748
9.462692 0.983560
9.554119 0.990536
9.645546 0.988582
9.736973 1.000770
9.828400 1.019665
9.919827 1.061039
10.011253 1.058199
10.102681 1.064055
10.194108 1.052232
10.285535 1.041485
10.376962 1.030187
10.468389 1.013764
10.559815 1.018698
10.651243 1.019029
10.742670 1.019037
10.834097 1.039856
10.925524 1.025486
11.016951 1.022485
11.108377 1.027393
11.199804 1.032994
11.291231 1.039098
11.382658 1.040169
11.474086 1.022224
11.565513 1.011398
11.656940 0.991308
11.748366 0.971012
11.839793 0.944182
11.931220 0.953106
12.022648 0.934318
12.114075 0.957416
12.205502 0.963372
12.296928 0.966925
12.388355 0.966008
12.479782 0.986518
12.571209 0.985995
12.662636 0.985906
12.754063 0.972880
12.845490 0.978329
12.936917 0.978570
13.028344 0.977088
13.119771 0.987460
13.211198 0.988270
13.302625 0.972765
13.394053 0.982096
13.485479 0.998620
13.576906 1.005487
13.668333 1.012563
13.759760 1.018678
13.851187 1.013842
13.942614 1.012721
14.034040 1.012174
14.125467 0.999024
14.216895 1.000664
14.308322 0.992462
14.399749 0.993528
14.491176 0.999803
14.582603 1.001256
14.674029 1.011804
14.765457 1.013437
14.856884 1.020916
14.948311 1.027365
15.039738 1.031232
15.131165 1.026852
15.222591 1.026800
15.314018 1.016317
15.405445 1.005598
15.496872 1.009783
15.588300 1.004843
15.679727 1.009147
15.771153 0.999668
15.862580 0.999659
15.954007 0.997729
16.045435 0.999167
16.136862 1.004697
16.228289 1.005976
16.319715 1.000763
16.411142 0.997337
16.502569 0.990026
16.593996 0.983404
16.685423 0.985300
16.776850 0.978422
16.868277 0.983143
16.959703 0.978947
17.051130 0.981171
17.142557 0.983372
17.233986 0.999027
17.325413 1.000274
17.416840 0.996719
17.508266 0.999930
17.599693 0.994152
17.691120 1.001038
17.782547 0.991419
17.873974 0.991098
17.965401 0.994242
18.056828 0.994348
18.148254 0.990867
18.239681 0.995298
