# RDF for density=1.3gcm3, timestep 519
# r	g(r)
0.049007 0.000000
0.147022 0.000000
0.245037 0.000000
0.343052 0.000000
0.441067 0.000000
0.539082 0.000000
0.637097 0.000000
0.735112 0.000000
0.833127 0.000000
0.931141 0.000000
1.029156 0.000000
1.127171 0.000000
1.225186 0.187283
1.323201 2.744082
1.421216 6.864139
1.519231 5.243881
1.617246 1.755998
1.715261 0.435408
1.813276 0.055117
1.911290 0.022239
2.009305 0.020123
2.107320 0.045033
2.205335 0.556402
2.303350 1.354672
2.401365 2.600010
2.499380 3.117445
2.597394 2.504028
2.695410 1.776414
2.793424 1.343988
2.891439 1.099672
2.989454 0.888882
3.087469 0.522562
3.185484 0.338150
3.283499 0.242901
3.381514 0.246515
3.479529 0.403700
3.577543 0.660727
3.675559 1.086753
3.773573 1.318533
3.871588 1.253456
3.969603 1.031680
4.067618 0.913811
4.165633 0.941554
4.263648 1.093019
4.361663 1.067125
4.459678 0.926140
4.557693 0.824152
4.655707 0.792123
4.753722 0.885921
4.851737 1.113098
4.949752 1.269210
5.047767 1.348451
5.145782 1.313144
5.243797 1.146549
5.341812 0.979567
5.439826 0.864955
5.537841 0.833183
5.635856 0.869985
5.733871 0.873386
5.831886 0.879923
5.929901 0.900851
6.027916 0.958322
6.125931 1.029835
6.223946 1.124477
6.321960 1.210615
6.419975 1.284035
6.517990 1.277336
6.616005 1.197504
6.714020 1.113843
6.812035 1.026128
6.910050 0.945911
7.008065 0.924727
7.106080 0.933495
7.204094 1.000641
7.302109 1.048103
7.400125 1.096423
7.498139 1.107751
7.596154 1.067323
7.694169 1.045056
7.792184 1.000814
7.890199 0.996483
7.988214 0.941227
8.086228 0.928875
8.184243 0.923742
8.282258 0.923057
8.380273 0.926421
8.478288 1.010256
8.576303 1.052722
8.674318 1.109073
8.772333 1.123172
8.870348 1.123827
8.968363 1.081836
9.066378 1.039332
9.164392 1.007622
9.262407 0.985894
9.360422 0.965147
9.458437 0.965155
9.556452 0.950802
9.654467 0.970218
9.752481 1.004837
9.850496 1.023846
9.948511 1.035790
10.046526 1.049368
10.144541 1.040547
10.242556 1.029952
10.340571 0.996675
10.438586 0.989289
10.536601 0.982456
10.634616 0.987863
10.732631 1.024221
10.830646 1.032034
10.928660 1.050503
11.026675 1.038183
11.124690 1.054968
11.222705 1.052901
11.320720 1.057133
11.418735 1.052339
11.516749 1.025650
11.614764 0.981976
11.712780 0.978582
11.810795 0.975348
11.908810 0.971345
12.006824 0.964184
12.104839 0.982798
12.202854 0.994024
12.300869 1.010550
12.398884 1.022524
12.496899 1.014072
12.594913 1.010374
12.692928 1.012437
12.790943 1.013930
12.888958 1.005414
12.986973 0.997871
13.084988 1.002801
13.183002 1.001362
13.281017 0.994506
13.379032 0.992268
13.477048 1.003120
13.575063 0.994999
13.673078 1.008632
13.771092 1.014204
13.869107 1.005054
13.967122 0.984364
14.065137 0.981907
14.163152 0.980422
14.261167 0.981254
14.359181 0.981092
14.457196 0.981082
14.555211 0.987088
14.653226 0.997101
14.751241 0.990619
14.849257 1.016182
14.947271 1.017620
15.045286 1.016752
15.143301 1.012709
15.241316 1.007769
15.339331 1.007419
15.437346 1.003977
15.535360 1.000105
15.633375 0.994150
15.731390 0.996448
15.829405 0.996818
15.927420 0.997796
16.025434 1.009792
16.123449 1.004913
16.221464 1.011958
16.319479 1.006149
16.417494 1.001448
16.515509 0.996601
16.613523 0.992595
16.711538 1.000891
16.809553 0.994414
16.907568 0.995999
17.005583 1.005131
17.103598 1.007503
17.201614 1.019835
17.299629 1.015919
17.397644 1.015323
17.495659 1.001591
17.593674 1.005831
17.691689 1.008329
17.789703 0.991781
17.887718 0.995661
17.985733 0.994040
18.083748 0.999281
18.181763 0.996758
18.279778 0.985857
18.377792 1.002913
18.475807 1.000117
18.573822 0.996770
18.671837 1.001191
18.769852 1.004153
18.867867 0.992148
18.965881 0.989529
19.063896 1.001380
19.161911 0.992463
19.259926 0.996384
19.357941 0.997888
19.455956 0.998412
19.553970 0.999090
