# RDF for density=1.0gcm3, timestep 936
# r	g(r)
0.053550 0.000000
0.160650 0.000000
0.267750 0.000000
0.374850 0.000000
0.481950 0.000000
0.589050 0.000000
0.696150 0.000000
0.803250 0.000000
0.910350 0.000000
1.017450 0.000000
1.124550 0.000000
1.231650 0.353541
1.338750 4.434950
1.445850 9.037727
1.552950 5.156135
1.660050 1.300489
1.767150 0.269621
1.874250 0.065757
1.981350 0.011389
2.088450 0.035878
2.195550 0.582805
2.302650 1.768079
2.409750 3.299450
2.516850 3.969355
2.623950 3.136763
2.731050 2.090267
2.838150 1.540448
2.945250 1.292143
3.052350 0.872703
3.159450 0.529342
3.266550 0.307319
3.373650 0.272403
3.480750 0.448439
3.587850 0.842397
3.694950 1.413316
3.802050 1.654475
3.909150 1.462159
4.016250 1.181462
4.123350 1.093705
4.230450 1.218937
4.337550 1.243073
4.444650 1.067313
4.551750 0.888177
4.658850 0.848156
4.765950 0.994543
4.873050 1.256067
4.980150 1.469175
5.087250 1.496668
5.194350 1.329513
5.301450 1.097606
5.408550 0.892268
5.515650 0.816306
5.622750 0.831476
5.729850 0.825203
5.836950 0.825169
5.944050 0.857087
6.051150 0.965225
6.158250 1.078952
6.265350 1.192187
6.372450 1.318371
6.479550 1.327340
6.586650 1.271813
6.693750 1.167403
6.800850 1.009417
6.907950 0.930413
7.015050 0.885865
7.122150 0.930977
7.229250 0.992020
7.336350 1.077928
7.443450 1.142106
7.550550 1.107582
7.657650 1.070338
7.764750 1.026488
7.871850 0.981188
7.978951 0.949230
8.086050 0.911600
8.193150 0.913119
8.300250 0.940778
8.407351 0.974844
8.514450 1.055043
8.621550 1.104489
8.728650 1.164820
8.835751 1.163477
8.942850 1.126094
9.049950 1.067193
9.157050 1.002473
9.264151 0.959620
9.371250 0.952504
9.478350 0.948512
9.585450 0.960704
9.692551 0.972902
9.799650 1.005934
9.906750 1.039200
10.013850 1.042671
10.120951 1.038899
10.228050 1.007223
10.335150 0.985956
10.442250 0.976644
10.549351 0.975056
10.656450 1.006169
10.763550 1.019946
10.870650 1.019446
10.977751 1.049617
11.084850 1.039448
11.191950 1.050228
11.299050 1.045714
11.406151 1.032350
11.513250 1.005706
11.620350 0.975765
11.727450 0.977703
11.834551 0.960772
11.941650 0.953030
12.048750 0.978177
12.155850 1.005415
12.262951 1.007874
12.370050 0.992741
12.477150 1.016745
12.584250 1.019246
12.691351 1.016725
12.798450 1.010008
12.905550 1.007888
13.012650 1.023800
13.119751 1.005059
13.226851 0.998831
13.333950 1.005041
13.441051 1.004938
13.548151 1.005078
13.655251 1.017485
13.762350 1.018438
13.869450 1.009963
13.976550 0.987232
14.083651 0.987653
14.190750 0.977801
14.297850 0.990403
14.404950 0.992135
14.512051 0.985236
14.619150 0.998203
14.726250 0.997574
14.833350 1.010925
14.940451 1.025157
15.047550 1.020469
15.154650 1.004298
15.261750 1.009626
15.368851 0.998402
15.475950 0.989243
15.583050 0.993580
15.690150 0.987429
15.797251 1.000118
15.904350 0.988767
16.011450 0.987525
16.118549 0.989936
16.225651 0.990444
16.332750 0.992556
16.439850 0.990210
16.546951 0.987012
16.654049 0.983120
16.761150 0.983103
16.868252 0.990551
16.975349 0.991318
17.082451 0.993375
17.189550 0.995427
17.296650 1.000968
17.403751 0.991502
17.510849 0.996620
17.617950 0.989363
17.725052 0.988489
17.832150 0.981597
17.939251 0.982551
18.046350 0.980518
18.153450 0.976469
18.260551 0.980259
18.367649 0.983488
18.474751 0.983381
18.581852 0.985065
18.688950 0.988261
18.796051 0.983252
18.903151 0.984436
19.010250 0.977605
19.117352 0.987067
19.224449 0.977094
19.331551 0.979961
19.438652 0.979924
19.545750 0.986684
19.652851 0.981352
19.759951 0.991430
19.867050 0.992980
19.974152 0.985710
20.081249 0.982378
20.188351 0.981912
20.295452 0.980692
20.402550 0.983652
20.509651 0.976986
20.616749 0.983468
20.723850 0.986997
20.830952 0.989161
20.938049 0.991103
21.045151 0.983845
21.152250 0.993061
21.259350 0.989675
21.366451 0.988041
