# RDF for density=1.8gcm3, timestep 487
# r	g(r)
0.043944 0.000000
0.131832 0.000000
0.219719 0.000000
0.307607 0.000000
0.395495 0.000000
0.483383 0.000000
0.571270 0.000000
0.659158 0.000000
0.747046 0.000000
0.834934 0.000000
0.922822 0.000000
1.010709 0.000000
1.098597 0.000000
1.186485 0.035746
1.274373 0.632151
1.362260 3.341146
1.450148 5.097741
1.538036 3.238314
1.625924 1.203280
1.713811 0.275906
1.801699 0.066677
1.889587 0.018327
1.977475 0.002574
2.065362 0.009440
2.153250 0.168282
2.241138 0.606343
2.329026 1.245398
2.416914 1.852781
2.504801 2.114998
2.592689 1.862468
2.680577 1.357732
2.768465 1.037106
2.856352 0.832974
2.944240 0.703269
3.032128 0.568365
3.120016 0.425094
3.207903 0.338037
3.295791 0.310980
3.383679 0.339006
3.471567 0.464919
3.559454 0.644491
3.647342 0.954392
3.735230 1.148157
3.823118 1.227894
3.911005 1.152924
3.998893 1.065971
4.086781 1.029357
4.174669 1.048293
4.262557 1.140725
4.350444 1.154419
4.438332 1.103787
4.526220 1.087878
4.614108 1.023422
4.701995 1.047913
4.789883 1.127865
4.877771 1.213061
4.965659 1.316280
5.053546 1.343242
5.141434 1.307806
5.229322 1.205489
5.317210 1.111658
5.405097 0.999981
5.492985 0.948882
5.580873 0.928770
5.668761 0.905364
5.756649 0.908314
5.844536 0.924240
5.932424 0.908502
6.020312 0.930785
6.108200 0.948586
6.196087 1.006056
6.283975 1.006539
6.371863 1.048904
6.459751 1.066641
6.547638 1.084115
6.635526 1.042894
6.723414 0.984628
6.811302 0.934421
6.899189 0.892682
6.987077 0.846852
7.074965 0.861748
7.162853 0.866832
7.250741 0.908096
7.338628 0.952378
7.426516 0.971686
7.514404 0.998306
7.602292 1.005758
7.690179 0.988605
7.778067 0.991353
7.865955 0.983647
7.953843 0.988129
8.041731 0.985879
8.129618 0.974884
8.217506 0.969795
8.305393 0.975877
8.393282 0.993066
8.481169 1.028234
8.569057 1.062990
8.656944 1.092440
8.744833 1.108047
8.832720 1.124085
8.920609 1.114318
9.008495 1.109399
9.096384 1.073218
9.184271 1.053853
9.272160 1.031393
9.360046 1.002575
9.447935 0.998224
9.535822 0.989099
9.623711 0.981390
9.711597 0.987726
9.799486 0.995410
9.887373 0.994272
9.975262 1.016904
10.063148 0.992106
10.151037 1.013160
10.238924 0.981962
10.326813 0.969144
10.414700 0.960747
10.502588 0.947152
10.590475 0.949857
10.678364 0.957773
10.766251 0.956339
10.854139 0.961447
10.942026 0.958530
11.029915 0.986500
11.117802 0.980924
11.205690 0.981432
11.293577 0.994894
11.381466 0.998518
11.469353 0.983001
11.557241 0.996416
11.645128 0.995840
11.733017 0.984962
11.820904 0.979049
11.908792 0.975378
11.996679 0.999121
12.084568 0.992855
12.172455 1.004797
12.260344 1.014856
12.348230 1.025952
12.436119 1.031785
12.524006 1.035679
12.611895 1.045552
12.699781 1.048588
12.787670 1.029374
12.875557 1.035500
12.963446 1.035591
13.051332 1.029901
13.139221 1.019299
13.227108 1.017618
13.314997 1.021197
13.402884 1.008803
13.490772 1.012589
13.578659 1.005775
13.666548 1.006466
13.754435 1.014058
13.842323 1.003665
13.930210 0.999754
14.018099 1.001837
14.105986 0.991400
14.193874 0.970171
14.281761 0.970405
14.369650 0.966658
14.457537 0.963938
14.545425 0.960734
14.633312 0.967027
14.721201 0.968989
14.809088 0.967726
14.896976 0.980724
14.984863 0.986733
15.072752 0.980714
15.160639 0.989679
15.248528 0.991793
15.336414 0.989791
15.424303 0.991409
15.512190 0.989369
15.600079 0.988080
15.687965 0.998891
15.775854 0.998371
15.863741 1.007203
15.951630 1.009727
16.039516 1.014124
16.127405 1.014019
16.215292 1.018715
16.303181 1.032710
16.391068 1.017420
16.478956 1.025512
16.566843 1.022468
16.654732 1.017827
16.742619 1.017988
16.830507 1.011506
16.918394 1.010745
17.006283 1.014056
17.094170 1.005810
17.182058 1.022569
17.269945 1.014945
17.357834 1.011270
17.445721 1.010781
17.533609 1.004180
