# RDF for density=0.5gcm3, timestep 591
# r	g(r)
0.067482 0.000000
0.202447 0.000000
0.337412 0.000000
0.472377 0.000000
0.607341 0.000000
0.742306 0.000000
0.877271 0.000000
1.012236 0.000000
1.147200 0.017915
1.282165 3.858864
1.417130 16.108114
1.552095 10.546347
1.687059 1.748985
1.822024 0.220319
1.956989 0.033885
2.091954 0.121318
2.226918 1.865266
2.361883 5.473884
2.496848 7.506344
2.631813 5.741045
2.766778 3.494486
2.901742 2.755205
3.036707 1.726240
3.171671 0.858688
3.306636 0.524528
3.441601 0.655565
3.576566 1.521259
3.711531 2.712208
3.846495 2.925640
3.981460 2.121700
4.116425 1.809369
4.251390 2.024086
4.386354 1.981189
4.521319 1.460002
4.656284 1.314538
4.791248 1.680567
4.926213 2.187418
5.061178 2.357962
5.196143 2.070977
5.331108 1.494063
5.466072 1.090588
5.601037 1.012704
5.736002 1.051339
5.870967 1.105254
6.005931 1.189953
6.140896 1.436165
6.275861 1.654621
6.410826 1.834948
6.545790 1.851229
6.680755 1.639687
6.815720 1.271297
6.950685 1.096107
7.085649 1.161474
7.220614 1.274648
7.355579 1.440544
7.490543 1.417714
7.625508 1.356402
7.760473 1.266133
7.895438 1.173612
8.030403 1.099172
8.165367 1.048976
8.300332 1.076649
8.435297 1.203519
8.570261 1.347323
8.705227 1.461764
8.840191 1.449033
8.975156 1.357883
9.110121 1.233328
9.245085 1.099406
9.380051 1.061557
9.515015 1.058643
9.649980 1.081458
9.784945 1.140085
9.919909 1.156886
10.054874 1.213590
10.189838 1.146987
10.324803 1.095615
10.459768 1.067735
10.594732 1.082868
10.729698 1.107463
10.864662 1.158408
10.999627 1.177178
11.134592 1.189264
11.269556 1.193473
11.404522 1.124016
11.539486 1.088925
11.674451 1.027011
11.809416 1.014667
11.944380 1.023465
12.079346 1.038823
12.214310 1.070021
12.349275 1.100171
12.484240 1.089449
12.619204 1.105330
12.754169 1.070597
12.889133 1.060660
13.024097 1.073157
13.159063 1.064074
13.294027 1.073426
13.428993 1.062886
13.563957 1.064818
13.698921 1.053049
13.833887 1.056593
13.968851 1.036997
14.103817 1.018197
14.238781 1.012963
14.373745 1.024814
14.508711 1.028205
14.643675 1.045609
14.778641 1.054320
14.913605 1.059479
15.048569 1.077290
15.183535 1.055310
15.318499 1.046576
15.453465 1.024025
15.588428 1.035570
15.723392 1.022825
15.858358 1.038506
15.993322 1.033377
16.128288 1.036966
16.263252 1.035728
16.398216 1.026456
16.533182 1.025283
16.668146 1.037339
16.803112 1.041331
16.938076 1.035884
17.073040 1.058590
17.208006 1.061033
17.342970 1.064163
17.477936 1.045656
17.612900 1.046675
17.747864 1.028996
17.882830 1.047240
18.017794 1.028950
18.152760 1.033215
18.287724 1.041925
18.422688 1.049755
18.557653 1.046213
18.692617 1.042742
18.827583 1.044577
18.962547 1.038245
19.097511 1.047233
19.232477 1.052920
19.367441 1.053027
19.502407 1.053445
19.637371 1.040408
19.772335 1.042175
19.907301 1.034182
20.042265 1.050004
20.177231 1.029093
20.312195 1.032377
20.447159 1.028751
20.582125 1.040221
20.717089 1.039029
20.852055 1.036553
20.987019 1.035453
21.121983 1.039128
21.256948 1.022843
21.391912 1.029137
21.526878 1.033120
21.661842 1.031770
21.796806 1.025429
21.931772 1.019923
22.066736 1.012625
22.201702 1.022605
22.336666 1.027874
22.471630 1.016158
22.606596 1.010633
22.741560 1.020561
22.876526 1.021582
23.011490 1.017365
23.146454 1.020288
23.281420 1.013798
23.416384 1.013423
23.551350 1.016621
23.686314 1.011916
23.821278 1.010265
23.956244 1.001330
24.091208 1.009661
24.226173 1.006265
24.361137 1.008617
24.496101 1.001933
24.631067 1.008027
24.766031 0.999362
24.900997 1.001298
25.035961 1.000015
25.170925 1.001788
25.305891 0.993913
25.440855 1.000681
25.575821 0.996505
25.710785 0.996548
25.845749 0.995822
25.980713 0.996904
26.115679 0.984420
26.250645 0.993525
26.385609 0.983113
26.520573 0.991720
26.655537 0.985673
26.790503 0.986272
26.925468 0.988916
