# snapshot_num shannon_8 shannon_16 shannon_32 shannon_64
145 6.085701 7.751973 8.902699 9.198454
146 6.096110 7.758221 8.898471 9.208539
147 6.077440 7.735883 8.901561 9.208330
148 6.073649 7.723964 8.904023 9.198088
149 6.055950 7.722177 8.893305 9.200942
150 6.070062 7.733344 8.895815 9.203183
151 6.055754 7.713677 8.894792 9.203199
152 6.036982 7.707414 8.887901 9.197847
153 6.044965 7.702407 8.890679 9.209963
154 6.029630 7.674552 8.882299 9.194093
155 5.993607 7.645937 8.874217 9.191933
156 5.987625 7.653226 8.879588 9.194195
157 5.936772 7.615426 8.861291 9.193382
158 5.902711 7.577149 8.851124 9.194336
159 5.869342 7.555832 8.859338 9.194968
160 5.835953 7.527941 8.850443 9.194313
161 5.805647 7.507278 8.846793 9.192889
162 5.757424 7.467613 8.837938 9.193585
163 5.702928 7.426853 8.834619 9.209601
164 5.648824 7.366757 8.814775 9.198532
165 5.599247 7.328878 8.801458 9.192403
166 5.539368 7.293660 8.805423 9.201183
167 5.488680 7.261495 8.797250 9.204322
168 5.442295 7.226993 8.782953 9.206896
169 5.347453 7.152924 8.758817 9.205289
170 5.319596 7.131683 8.754518 9.209902
171 5.294646 7.108830 8.741440 9.200010
172 5.253044 7.076117 8.738701 9.192584
173 5.205933 7.037014 8.723165 9.193178
174 5.172123 7.009731 8.708142 9.188606
175 5.137831 6.981366 8.707684 9.202773
176 5.107414 6.955317 8.687657 9.196912
177 5.086412 6.947749 8.689842 9.199038
178 5.069598 6.926741 8.668609 9.189321
179 5.048128 6.906536 8.662691 9.192544
180 5.022778 6.883970 8.657009 9.193968
181 5.013586 6.868366 8.646497 9.205691
182 4.982964 6.838914 8.623227 9.193867
183 4.975190 6.826247 8.622212 9.203920
184 4.948548 6.810210 8.607999 9.197177
185 4.950288 6.796208 8.604567 9.197964
186 4.931238 6.785148 8.589597 9.189015
187 4.917077 6.765511 8.582851 9.190444
188 4.906444 6.752973 8.567937 9.192341
189 4.891438 6.729649 8.551009 9.188095
190 4.868555 6.709890 8.541587 9.191769
191 4.847043 6.694367 8.531819 9.190569
192 4.830732 6.685420 8.518626 9.193092
193 4.808103 6.663457 8.510907 9.191832
194 4.796861 6.653985 8.506773 9.198470
195 4.781081 6.638863 8.491328 9.197154
196 4.772475 6.623904 8.482714 9.207135
197 4.757126 6.613001 8.475269 9.202611
198 4.745247 6.603888 8.465641 9.203014
199 4.741038 6.601649 8.460886 9.199077
200 4.737738 6.593385 8.456385 9.200492
201 4.734343 6.587158 8.447948 9.199381
202 4.730531 6.582052 8.438859 9.202711
203 4.730106 6.582325 8.441161 9.201501
204 4.729081 6.582451 8.442875 9.200896
205 4.731608 6.585121 8.446450 9.199987
206 4.728865 6.584463 8.444296 9.200492
207 4.730333 6.582846 8.441682 9.199279
208 4.729587 6.580533 8.445487 9.200492
209 4.729738 6.581781 8.444458 9.198369
210 4.733164 6.585755 8.443325 9.204423
211 4.734620 6.584418 8.444372 9.202611
212 4.732254 6.584329 8.444249 9.202975
213 4.731879 6.582076 8.441448 9.202711
214 4.731784 6.584513 8.445182 9.204020
215 4.732067 6.585625 8.443506 9.204423
216 4.731054 6.582731 8.444261 9.203014
217 4.731295 6.585682 8.444599 9.202711
218 4.732820 6.583336 8.440696 9.204222
219 4.733328 6.582940 8.442380 9.202975
220 4.728602 6.581490 8.442855 9.204725
221 4.729082 6.582864 8.441734 9.204222
222 4.730182 6.581651 8.439878 9.203819
223 4.729781 6.581468 8.443585 9.204322
224 4.732093 6.581783 8.442921 9.205026
225 4.729644 6.580672 8.439356 9.204121
226 4.735121 6.583977 8.443536 9.205227
227 4.732870 6.583164 8.441191 9.205529
228 4.735595 6.584007 8.441189 9.205088
229 4.733305 6.580931 8.440091 9.204183
230 4.733760 6.582622 8.441773 9.204020
231 4.731672 6.582786 8.440935 9.203416
232 4.732664 6.580988 8.442171 9.205227
233 4.737881 6.586802 8.445852 9.204384
234 4.736162 6.584391 8.446927 9.204523
235 4.735141 6.584198 8.442257 9.203819
236 4.735634 6.584931 8.443729 9.203819
237 4.737005 6.585619 8.441843 9.205691
238 4.737184 6.584209 8.444254 9.205026
239 4.738162 6.584018 8.442482 9.204725
240 4.739967 6.584329 8.440317 9.203618
241 4.736448 6.586329 8.442859 9.205629
242 4.734601 6.583063 8.444192 9.203819
243 4.738765 6.585079 8.444384 9.203920
244 4.740626 6.587408 8.445476 9.204322
245 4.736014 6.583709 8.438936 9.205227
246 4.738070 6.586238 8.440254 9.203618
247 4.736694 6.582463 8.444954 9.203618
248 4.739360 6.585482 8.441894 9.204283
249 4.737681 6.583894 8.440285 9.202913
250 4.736111 6.582794 8.440978 9.203517
251 4.735801 6.584199 8.443086 9.204624
252 4.737856 6.582462 8.441020 9.204020
253 4.736206 6.582713 8.442294 9.206093
254 4.735573 6.581005 8.439517 9.203478
255 4.736517 6.584495 8.443243 9.203920
256 4.737445 6.579523 8.437892 9.204725
257 4.738940 6.586851 8.444188 9.204523
258 4.737307 6.582557 8.441159 9.204322
259 4.738321 6.584570 8.441880 9.203517
260 4.738999 6.582060 8.438744 9.204523
261 4.738496 6.586363 8.441144 9.204926
262 4.738155 6.584638 8.441767 9.203819
263 4.740439 6.585716 8.444765 9.204322
264 4.741623 6.585791 8.442844 9.204121
265 4.739338 6.586498 8.445710 9.204926
266 4.740820 6.583763 8.442387 9.203718
267 4.741593 6.585093 8.442440 9.203718
268 4.741872 6.586302 8.440899 9.204624
269 4.741431 6.584645 8.445692 9.204686
270 4.740429 6.583895 8.443242 9.204725
271 4.741827 6.585740 8.442779 9.206193
272 4.744721 6.583388 8.443456 9.204825
273 4.742740 6.583235 8.443159 9.204020
274 4.743842 6.584413 8.440660 9.204384
275 4.741729 6.582437 8.442814 9.204926
276 4.744923 6.585688 8.441865 9.204825
277 4.745123 6.584822 8.442775 9.206232
278 4.741756 6.583997 8.443639 9.205026
279 4.744015 6.584063 8.444358 9.204222
280 4.744320 6.582827 8.443152 9.205328
281 4.743615 6.582133 8.441423 9.204322
282 4.742426 6.581557 8.442397 9.205629
283 4.741336 6.582423 8.442600 9.203920
284 4.742702 6.583073 8.444134 9.204322
285 4.743403 6.581318 8.440133 9.204423
286 4.742468 6.582644 8.444206 9.204624
287 4.742999 6.582420 8.439380 9.203718
288 4.742592 6.581769 8.443094 9.204825
289 4.744240 6.581664 8.442420 9.204825
290 4.742558 6.582882 8.441378 9.204926
291 4.745914 6.582996 8.445464 9.205127
292 4.740709 6.580208 8.443173 9.204825
293 4.743580 6.580939 8.440324 9.204926
294 4.743826 6.583687 8.443532 9.205730
295 4.741911 6.583068 8.443185 9.205529
296 4.743604 6.581865 8.442388 9.205328
297 4.745749 6.583176 8.443467 9.205428
298 4.743107 6.583732 8.443846 9.205127
299 4.741420 6.583438 8.441775 9.205529
300 4.739769 6.582630 8.440155 9.205227
301 4.743841 6.580449 8.439586 9.204825
302 4.748783 6.584713 8.445619 9.204423
303 4.749809 6.590624 8.451817 9.201804
304 4.753212 6.594521 8.454937 9.200896
305 4.756695 6.600130 8.463060 9.197863
306 4.771056 6.615390 8.470974 9.200857
307 4.773600 6.620502 8.477406 9.196039
308 4.780497 6.626109 8.486880 9.195898
309 4.791054 6.645835 8.498269 9.199341
310 4.802265 6.655548 8.513164 9.203316
311 4.806473 6.664548 8.514718 9.192482
312 4.833381 6.690862 8.535721 9.194883
313 4.849111 6.705451 8.547085 9.209840
314 4.861028 6.717621 8.557983 9.195797
315 4.871534 6.726429 8.571815 9.197013
