# snapshot_num shannon_8 shannon_16 shannon_32 shannon_64
145 4.006274 5.820236 7.623689 8.272315
146 4.008689 5.822332 7.633406 8.277158
147 4.006891 5.820755 7.633465 8.277666
148 4.007471 5.819625 7.630819 8.279190
149 4.009690 5.819860 7.642431 8.281471
150 4.012011 5.820525 7.640408 8.281977
151 4.012337 5.820020 7.639786 8.276395
152 4.010986 5.818844 7.636999 8.277920
153 4.010622 5.820742 7.647056 8.293550
154 4.007321 5.820194 7.639944 8.292298
155 4.002152 5.820853 7.632183 8.284757
156 4.011422 5.819818 7.638765 8.283999
157 4.009547 5.819209 7.635412 8.276649
158 4.013174 5.821260 7.643017 8.273337
159 4.013724 5.820401 7.646551 8.289288
160 4.010551 5.820093 7.637261 8.282736
161 4.013776 5.820218 7.638744 8.276903
162 4.006183 5.819379 7.637095 8.287025
163 4.002958 5.818443 7.634166 8.280711
164 4.003069 5.818947 7.637362 8.293800
165 4.003301 5.819066 7.634520 8.284757
166 4.008952 5.819698 7.644908 8.285513
167 4.010541 5.820941 7.642102 8.281218
168 4.010101 5.820244 7.642091 8.282483
169 4.008908 5.821062 7.645122 8.287277
170 4.006323 5.816715 7.645557 8.292549
171 4.007826 5.818842 7.640561 8.290293
172 3.996915 5.818521 7.634176 8.293800
173 3.999419 5.816526 7.632922 8.279697
174 3.998844 5.817013 7.629460 8.286017
175 4.008478 5.819665 7.648739 8.284504
176 4.004166 5.817492 7.641229 8.288283
177 4.010693 5.817785 7.653058 8.283241
178 4.010147 5.818874 7.657234 8.282736
179 4.012200 5.819020 7.656826 8.283241
180 4.003655 5.817614 7.643109 8.284252
181 3.997166 5.817436 7.636827 8.292549
182 3.997806 5.818820 7.638511 8.285765
183 4.000535 5.815056 7.636090 8.283494
184 4.010578 5.820582 7.649468 8.280711
185 4.007133 5.819488 7.641841 8.293800
186 3.999551 5.817530 7.637950 8.292048
187 3.998609 5.817011 7.631174 8.282230
188 3.999228 5.818105 7.637041 8.288786
189 3.993583 5.815453 7.632749 8.281977
190 3.988619 5.814936 7.621773 8.279951
191 3.984745 5.812671 7.626923 8.287277
192 3.995036 5.816590 7.633605 8.279190
193 4.001323 5.817577 7.647030 8.288283
194 4.011392 5.821417 7.654782 8.292799
195 3.999732 5.818520 7.641815 8.285513
196 3.992255 5.816053 7.637122 8.291797
197 3.996381 5.816280 7.639625 8.283494
198 3.991100 5.815004 7.640485 8.291547
199 4.000354 5.817961 7.644549 8.284252
200 4.002484 5.815206 7.643441 8.291547
201 4.008891 5.818266 7.653815 8.285765
202 4.007916 5.819096 7.653497 8.282736
203 3.998710 5.815934 7.648319 8.284252
204 3.996223 5.814711 7.636200 8.287528
205 3.994301 5.814943 7.634101 8.292549
206 3.998719 5.818586 7.637837 8.282736
207 4.000543 5.817560 7.645502 8.283241
208 3.995491 5.815244 7.642734 8.286521
209 3.997168 5.814966 7.645423 8.283241
210 3.995972 5.815220 7.651572 8.288534
211 3.998200 5.814548 7.645197 8.279951
212 3.996896 5.816223 7.639144 8.288534
213 3.999825 5.814845 7.647211 8.289791
214 3.999123 5.814147 7.647411 8.288283
215 3.994389 5.814581 7.638749 8.285765
216 3.996516 5.817163 7.639814 8.287780
217 3.997099 5.816516 7.646230 8.286017
218 3.994715 5.814306 7.652677 8.284252
219 3.984143 5.812343 7.631355 8.291797
220 3.989732 5.812656 7.640578 8.284504
221 4.001343 5.815261 7.651424 8.287528
222 4.002869 5.816668 7.654726 8.287277
223 4.000461 5.817681 7.651909 8.292549
224 3.995786 5.815968 7.650420 8.286773
225 4.006432 5.817363 7.655404 8.285009
226 3.997412 5.816540 7.648783 8.293299
227 3.992854 5.814031 7.647887 8.291045
228 3.991772 5.813461 7.641155 8.292298
229 3.995697 5.815824 7.648880 8.280964
230 3.995291 5.816011 7.644822 8.289288
231 3.997593 5.815308 7.655000 8.282989
232 3.997296 5.815926 7.655988 8.289539
233 4.002625 5.814471 7.657070 8.289288
234 3.998983 5.816986 7.653194 8.285009
235 3.993240 5.815682 7.653948 8.289791
236 3.994665 5.816814 7.649727 8.283241
237 3.996768 5.816059 7.642540 8.281724
238 4.000241 5.816900 7.653676 8.285765
239 3.996749 5.816320 7.651636 8.292298
240 3.995206 5.816534 7.649732 8.285261
241 4.002915 5.818033 7.657665 8.286773
242 3.996921 5.814920 7.647064 8.289037
243 3.993426 5.813770 7.647250 8.293800
244 3.995266 5.814597 7.653097 8.283999
245 3.993431 5.814106 7.643755 8.282736
246 3.994711 5.815409 7.643288 8.288032
247 3.999296 5.815683 7.654112 8.282736
248 3.994147 5.812226 7.646567 8.285261
249 3.997025 5.815633 7.650151 8.282230
250 3.992785 5.814078 7.644735 8.283999
251 3.998879 5.816462 7.660718 8.288534
252 3.998147 5.815526 7.649706 8.285261
253 3.992545 5.814882 7.639169 8.287025
254 4.001011 5.816182 7.648522 8.286269
255 3.992228 5.813448 7.652172 8.285765
256 3.998480 5.817372 7.655919 8.289288
257 3.998106 5.814903 7.654767 8.285513
258 4.003529 5.817391 7.659812 8.288786
259 4.000780 5.817206 7.658066 8.287528
260 3.995797 5.814588 7.650179 8.282989
261 3.992139 5.814423 7.650141 8.292298
262 3.997865 5.815897 7.651744 8.286269
263 3.999435 5.816559 7.654799 8.284504
264 4.002364 5.817392 7.659378 8.283494
265 3.998068 5.815609 7.653547 8.293299
266 3.998821 5.815600 7.656019 8.288786
267 3.998118 5.815038 7.660828 8.286773
268 3.993727 5.813332 7.647858 8.286773
269 3.994781 5.813956 7.650026 8.291045
270 3.993502 5.813417 7.649489 8.286269
271 3.990870 5.813877 7.654050 8.293299
272 4.000575 5.816790 7.663167 8.287528
273 3.994455 5.814406 7.657053 8.292799
274 4.002725 5.815162 7.666156 8.287025
275 3.988666 5.810486 7.653553 8.289288
276 3.996785 5.815283 7.657537 8.288032
277 3.990361 5.812661 7.648237 8.286269
278 3.992376 5.812977 7.649300 8.288786
279 3.996399 5.814769 7.650186 8.291547
280 3.990231 5.814208 7.650211 8.291797
281 3.995182 5.814296 7.652774 8.288032
282 3.989503 5.813628 7.647121 8.286521
283 4.000118 5.816206 7.660260 8.291296
284 3.994456 5.814836 7.659737 8.292799
285 3.993319 5.813103 7.651405 8.284504
286 3.990081 5.813623 7.641144 8.287528
287 3.985424 5.814135 7.647109 8.292298
288 3.980327 5.812934 7.634920 8.289288
