cid,cid_shuffled,cid_shuffled_std,cid_normalized,compression_gain,snapshot,nbins,n_particles_total,box_length,n_particles_filtered,atom_types,snapshot_num,shannon_entropy
0.0118622,0.0241556,0.0,0.4910745334415208,0.5089254665584793,snapshot_1.xyz,64,4000,16.796962,4000,all,1,7.628202008393906
0.0110608,0.0235256,0.0,0.4701601659468834,0.5298398340531165,snapshot_2.xyz,64,4000,16.796962,4000,all,2,7.616296516859283
0.0118151,0.0237395,0.0,0.4976979296109859,0.5023020703890141,snapshot_3.xyz,64,4000,16.796962,4000,all,3,7.625400994430534
0.0110608,0.0234355,0.0,0.4719677412472531,0.5280322587527468,snapshot_4.xyz,64,4000,16.796962,4000,all,4,7.619980662158193
0.0112851,0.0236044,0.0,0.4780930673942146,0.5219069326057855,snapshot_5.xyz,64,4000,16.796962,4000,all,5,7.624500210628039
0.0112497,0.0235931,0.0,0.476821613098745,0.523178386901255,snapshot_6.xyz,64,4000,16.796962,4000,all,6,7.621282237886989
0.0113323,0.0235143,0.0,0.4819322710010504,0.5180677289989495,snapshot_7.xyz,64,4000,16.796962,4000,all,7,7.622948287122579
0.0108363,0.0236607,0.0,0.4579872953885557,0.5420127046114442,snapshot_8.xyz,64,4000,16.796962,4000,all,8,7.622228701488375
0.0116975,0.0235031,0.0,0.497700303364237,0.5022996966357629,snapshot_9.xyz,64,4000,16.796962,4000,all,9,7.625105369976225
0.0110136,0.0235481,0.0,0.467706524093239,0.532293475906761,snapshot_10.xyz,64,4000,16.796962,4000,all,10,7.6212655619853225
0.0113676,0.0236832,0.0,0.4799858127280097,0.5200141872719903,snapshot_11.xyz,64,4000,16.796962,4000,all,11,7.618881580663356
0.0118269,0.0236945,0.0,0.4991411508999979,0.5008588491000021,snapshot_12.xyz,64,4000,16.796962,4000,all,12,7.619580347729695
0.0112143,0.0235481,0.0,0.4762295047158794,0.5237704952841206,snapshot_13.xyz,64,4000,16.796962,4000,all,13,7.622399238733043
0.0108245,0.0235031,0.0,0.4605562670456238,0.5394437329543762,snapshot_14.xyz,64,4000,16.796962,4000,all,14,7.622399238733044
0.0110845,0.0235031,0.0,0.4716186375414307,0.5283813624585693,snapshot_15.xyz,64,4000,16.796962,4000,all,15,7.621233079696067
