# RDF for snapshot_675.xyz, snapshot 675
# r	g(r)
0.049750 0.000000
0.149250 0.000000
0.248750 0.000000
0.348250 0.000000
0.447750 0.000000
0.547250 0.000000
0.646750 0.061064
0.746250 0.400149
0.845750 1.543889
0.945250 3.277209
1.044750 4.145155
1.144250 3.155990
1.243750 1.934002
1.343250 1.508503
1.442750 1.411417
1.542250 1.420242
1.641750 1.393466
1.741250 1.470024
1.840750 1.510258
1.940250 1.502645
2.039750 1.446487
2.139250 1.360929
2.238750 1.311897
2.338250 1.277336
2.437750 1.277174
2.537250 1.245283
2.636750 1.227871
2.736250 1.216495
2.835750 1.219954
2.935250 1.191641
3.034750 1.180033
3.134250 1.167472
3.233750 1.136873
3.333250 1.140684
3.432750 1.120080
3.532250 1.124411
3.631750 1.108194
3.731250 1.103848
3.830750 1.101945
3.930250 1.097556
4.029750 1.091050
4.129250 1.079695
4.228750 1.060050
4.328250 1.066025
4.427750 1.075833
4.527250 1.056181
4.626750 1.050942
4.726250 1.055225
4.825750 1.039415
4.925250 1.052244
5.024750 1.048889
5.124250 1.044619
5.223750 1.037011
5.323250 1.034515
5.422750 1.028482
5.522250 1.028708
5.621750 1.034949
5.721250 1.031454
5.820750 1.030054
5.920250 1.026682
6.019750 1.026899
6.119250 1.024253
6.218750 1.029096
6.318250 1.011806
6.417750 1.022184
6.517250 1.018715
6.616750 1.019893
6.716250 1.020676
6.815750 1.016186
6.915250 1.014685
7.014750 1.015745
7.114250 1.020739
7.213750 1.017275
7.313250 1.007110
7.412750 1.015088
7.512250 1.008730
7.611750 1.013262
7.711250 1.009674
7.810750 1.009456
7.910250 1.008839
8.009750 1.011715
8.109250 1.009725
8.208750 1.003759
8.308250 1.002390
8.407750 1.008643
8.507250 1.002464
8.606750 1.003184
8.706250 1.001623
8.805750 0.997030
8.905251 0.996795
9.004749 1.001944
9.104250 1.002508
9.203751 0.999585
9.303249 0.996251
9.402750 1.000672
9.502251 0.998333
9.601749 0.999191
9.701250 0.999785
9.800751 1.001552
9.900249 0.995974
9.999750 0.998347
10.099251 0.996837
10.198750 1.003693
10.298250 1.001591
10.397750 1.000768
10.497250 1.002417
10.596750 0.998574
10.696250 1.002419
10.795750 0.997951
10.895250 0.997039
10.994750 1.001504
11.094250 1.000358
11.193750 1.002559
11.293250 1.000873
11.392750 0.998107
11.492250 0.997886
11.591750 0.999666
11.691250 1.000203
11.790751 0.997673
11.890250 0.996300
11.989750 1.000429
12.089251 0.992326
12.188749 0.996666
12.288250 0.995428
12.387751 0.994288
12.487249 0.993689
12.586750 0.993154
12.686251 0.987864
12.785749 0.997331
12.885250 0.986520
12.984751 0.989824
13.084249 0.991101
13.183750 0.995913
13.283251 0.992002
13.382750 0.993010
13.482250 0.987005
13.581750 0.990680
13.681250 0.988136
13.780750 0.990911
13.880250 0.990071
13.979750 0.987154
14.079250 0.990436
14.178750 0.990057
14.278250 0.989482
14.377750 0.988913
14.477250 0.989707
14.576750 0.988667
14.676250 0.993161
14.775750 0.989240
14.875250 0.988316
14.974751 0.991777
15.074250 0.992647
15.173750 0.995290
15.273251 0.990759
15.372749 0.987314
15.472250 0.990059
15.571751 0.989045
15.671249 0.989772
15.770750 0.992807
15.870251 0.995102
15.969750 0.990613
16.069250 0.992726
16.168751 0.993679
16.268250 0.996477
16.367750 0.993750
16.467251 0.990490
16.566750 0.990645
16.666250 0.990716
16.765751 0.996313
16.865250 0.995192
16.964750 0.996676
17.064251 0.993957
17.163750 0.989982
17.263250 0.990402
17.362751 0.995036
17.462250 0.992555
17.561750 0.991470
17.661251 0.994491
17.760750 0.993504
17.860249 0.997244
17.959751 0.997247
18.059250 0.997458
18.158749 0.996542
18.258251 0.995634
18.357750 0.994080
18.457249 0.995655
18.556751 0.997360
18.656250 0.997148
18.755749 0.997946
18.855251 0.997336
18.954750 0.994504
19.054249 0.996088
19.153751 0.996026
19.253250 0.996720
19.352749 0.996622
19.452251 0.999443
19.551750 0.996745
19.651249 0.997609
19.750751 1.000816
19.850250 0.997414
