# RDF for snapshot_303.xyz, snapshot 303
# r	g(r)
0.049750 0.000000
0.149250 0.000000
0.248750 0.000000
0.348250 0.000000
0.447750 0.000000
0.547250 0.000000
0.646750 0.000000
0.746250 0.000000
0.845750 0.058611
0.945250 6.633400
1.044750 18.179453
1.144250 15.801044
1.243750 4.933558
1.343250 2.616628
1.442750 2.372027
1.542250 2.799181
1.641750 4.212673
1.741250 6.536628
1.840750 7.805014
1.940250 7.752472
2.039750 7.419149
2.139250 6.505847
2.238750 4.780542
2.338250 3.741961
2.437750 3.881988
2.537250 4.731024
2.636750 5.918955
2.736250 6.550180
2.835750 6.392540
2.935250 5.729261
3.034750 5.128369
3.134250 4.775445
3.233750 4.451072
3.333250 4.358018
3.432750 4.674729
3.532250 5.190338
3.631750 5.510623
3.731250 5.396890
3.830750 5.021987
3.930250 4.634293
4.029750 4.403912
4.129250 4.315298
4.228750 4.346273
4.328250 4.487426
4.427750 4.641737
4.527250 4.744400
4.626750 4.668004
4.726250 4.462729
4.825750 4.245005
4.925250 4.097189
5.024750 4.038000
5.124250 4.056978
5.223750 4.114900
5.323250 4.187227
5.422750 4.193090
5.522250 4.105867
5.621750 3.985519
5.721250 3.856608
5.820750 3.753721
5.920250 3.714800
6.019750 3.720452
6.119250 3.732963
6.218750 3.743944
6.318250 3.710683
6.417750 3.660333
6.517250 3.563321
6.616750 3.483101
6.716250 3.411974
6.815750 3.368461
6.915250 3.357624
7.014750 3.354540
7.114250 3.336745
7.213750 3.302120
7.313250 3.249617
7.412750 3.168782
7.512250 3.124526
7.611750 3.073197
7.711250 3.025871
7.810750 3.002319
7.910250 2.979384
8.009750 2.960030
8.109250 2.922152
8.208750 2.878270
8.308250 2.814328
8.407750 2.769514
8.507250 2.735948
8.606750 2.692448
8.706250 2.656874
8.805750 2.644041
8.905251 2.608516
9.004749 2.570742
9.104250 2.529260
9.203751 2.493306
9.303249 2.445068
9.402750 2.416863
9.502251 2.374837
9.601749 2.347759
9.701250 2.319789
9.800751 2.283871
9.900249 2.257516
9.999750 2.225853
10.099251 2.183963
10.198750 2.162115
10.298250 2.121018
10.397750 2.099353
10.497250 2.056445
10.596750 2.034024
10.696250 2.005884
10.795750 1.986342
10.895250 1.944772
10.994750 1.929054
11.094250 1.901101
11.193750 1.870497
11.293250 1.841787
11.392750 1.814940
11.492250 1.790891
11.591750 1.767001
11.691250 1.751510
11.790751 1.725346
11.890250 1.694791
11.989750 1.679552
12.089251 1.653849
12.188749 1.627388
12.288250 1.612390
12.387751 1.586497
12.487249 1.570862
12.586750 1.554534
12.686251 1.531797
12.785749 1.510617
12.885250 1.488848
12.984751 1.472046
13.084249 1.452883
13.183750 1.434980
13.283251 1.423308
13.382750 1.407776
13.482250 1.388188
13.581750 1.370698
13.681250 1.358021
13.780750 1.336085
13.880250 1.322427
13.979750 1.311713
14.079250 1.293794
14.178750 1.281729
14.278250 1.272114
14.377750 1.254645
14.477250 1.244152
14.576750 1.227036
14.676250 1.213596
14.775750 1.199974
14.875250 1.189294
14.974751 1.181246
15.074250 1.168746
15.173750 1.159862
15.273251 1.142025
15.372749 1.136057
15.472250 1.122355
15.571751 1.107927
15.671249 1.102300
15.770750 1.090904
15.870251 1.081304
15.969750 1.077715
16.069250 1.062652
16.168751 1.053896
16.268250 1.042249
16.367750 1.033494
16.467251 1.026323
16.566750 1.014604
16.666250 1.011560
16.765751 1.002024
16.865250 0.993299
16.964750 0.988689
17.064251 0.975483
17.163750 0.967365
17.263250 0.960962
17.362751 0.954107
17.462250 0.945934
17.561750 0.941611
17.661251 0.936421
17.760750 0.927563
17.860249 0.919856
17.959751 0.912162
18.059250 0.904968
18.158749 0.902152
18.258251 0.890471
18.357750 0.888544
18.457249 0.885235
18.556751 0.878724
18.656250 0.870726
18.755749 0.864429
18.855251 0.857146
18.954750 0.853286
19.054249 0.850261
19.153751 0.843104
19.253250 0.840167
19.352749 0.834766
19.452251 0.827076
19.551750 0.824857
19.651249 0.819302
19.750751 0.812730
19.850250 0.808835
