# RDF for snapshot_73.xyz, snapshot 73
# r	g(r)
0.049750 0.000000
0.149250 0.000000
0.248750 0.000000
0.348250 0.000000
0.447750 0.005085
0.547250 0.037498
0.646750 0.234487
0.746250 0.638770
0.845750 1.545319
0.945250 2.915491
1.044750 3.321372
1.144250 2.827029
1.243750 1.937971
1.343250 1.467671
1.442750 1.228046
1.542250 1.274389
1.641750 1.239691
1.741250 1.287748
1.840750 1.326309
1.940250 1.332724
2.039750 1.268382
2.139250 1.231882
2.238750 1.219182
2.338250 1.148536
2.437750 1.138002
2.537250 1.131280
2.636750 1.131290
2.736250 1.116283
2.835750 1.116340
2.935250 1.104674
3.034750 1.094117
3.134250 1.077859
3.233750 1.071092
3.333250 1.059147
3.432750 1.062225
3.532250 1.071246
3.631750 1.069932
3.731250 1.042821
3.830750 1.059394
3.930250 1.054613
4.029750 1.038508
4.129250 1.043763
4.228750 1.040129
4.328250 1.034059
4.427750 1.038813
4.527250 1.046492
4.626750 1.031240
4.726250 1.026903
4.825750 1.032954
4.925250 1.041610
5.024750 1.028576
5.124250 1.032300
5.223750 1.041062
5.323250 1.035671
5.422750 1.037150
5.522250 1.043377
5.621750 1.035111
5.721250 1.034112
5.820750 1.029812
5.920250 1.034772
6.019750 1.029075
6.119250 1.039781
6.218750 1.035581
6.318250 1.040796
6.417750 1.032560
6.517250 1.026331
6.616750 1.028147
6.716250 1.033045
6.815750 1.039413
6.915250 1.033737
7.014750 1.024742
7.114250 1.032136
7.213750 1.033917
7.313250 1.034662
7.412750 1.035833
7.512250 1.029754
7.611750 1.040268
7.711250 1.032562
7.810750 1.029626
7.910250 1.030836
8.009750 1.033950
8.109250 1.031636
8.208750 1.021800
8.308250 1.039510
8.407750 1.031719
8.507250 1.028703
8.606750 1.034845
8.706250 1.029315
8.805750 1.030813
8.905251 1.029119
9.004749 1.034453
9.104250 1.026733
9.203751 1.027773
9.303249 1.025932
9.402750 1.031060
9.502251 1.027986
9.601749 1.025257
9.701250 1.032384
9.800751 1.021386
9.900249 1.027542
9.999750 1.025696
10.099251 1.024780
10.198750 1.029104
10.298250 1.021698
10.397750 1.027337
10.497250 1.026390
10.596750 1.026922
10.696250 1.024739
10.795750 1.029901
10.895250 1.025783
10.994750 1.023784
11.094250 1.021933
11.193750 1.025035
11.293250 1.018154
11.392750 1.024391
11.492250 1.023779
11.591750 1.018956
11.691250 1.022132
11.790751 1.023210
11.890250 1.017577
11.989750 1.020881
12.089251 1.015525
12.188749 1.020128
12.288250 1.022576
12.387751 1.020528
12.487249 1.020990
12.586750 1.019511
12.686251 1.017327
12.785749 1.018322
12.885250 1.020080
12.984751 1.014363
13.084249 1.022010
13.183750 1.022649
13.283251 1.017945
13.382750 1.019620
13.482250 1.018155
13.581750 1.017135
13.681250 1.020292
13.780750 1.018502
13.880250 1.017159
13.979750 1.017664
14.079250 1.022636
14.178750 1.016294
14.278250 1.016056
14.377750 1.016568
14.477250 1.015953
14.576750 1.016002
14.676250 1.014306
14.775750 1.013282
14.875250 1.012954
14.974751 1.017039
15.074250 1.013364
15.173750 1.012628
15.273251 1.012214
15.372749 1.014533
15.472250 1.009906
15.571751 1.015020
15.671249 1.013117
15.770750 1.014441
15.870251 1.012110
15.969750 1.008544
16.069250 1.008933
16.168751 1.010081
16.268250 1.008075
16.367750 1.010873
16.467251 1.012952
16.566750 1.009604
16.666250 1.008252
16.765751 1.005014
16.865250 1.006947
16.964750 1.003127
17.064251 1.007700
17.163750 1.006196
17.263250 1.007531
17.362751 1.006191
17.462250 1.002869
17.561750 1.006199
17.661251 1.005021
17.760750 1.005770
17.860249 1.001063
17.959751 1.006160
18.059250 1.003130
18.158749 1.000885
18.258251 1.003541
18.357750 1.001240
18.457249 1.003180
18.556751 1.001638
18.656250 0.998805
18.755749 1.000893
18.855251 1.000985
18.954750 1.003869
19.054249 1.004649
19.153751 1.000863
19.253250 1.001269
19.352749 1.000651
19.452251 0.998307
19.551750 1.001922
19.651249 0.996648
19.750751 0.999717
19.850250 0.998538
