LAMMPS data file via write_data, version 22 Jul 2025, timestep = 300000, units = lj

10000 atoms
1 atom types
9500 bonds
1 bond types

-20 20 xlo xhi
-20 20 ylo yhi
-20 20 zlo zhi

Masses

1 1

Pair Coeffs # lj/cut

1 1 1

Bond Coeffs # harmonic

1 100 1

Atoms # molecular

5757 288 1 5.573322352842505 -5.8321193451699935 -17.76680250804485 0 0 1
5760 288 1 7.515914122662628 -5.779268779329891 -17.633337590478302 0 0 1
3281 165 1 8.535892825711521 -5.84383158683962 -17.84742267508184 0 0 0
6785 340 1 -18.53316817038803 -2.9712247252699204 -17.596784016885024 0 1 1
6784 340 1 -18.995082841929428 -3.40947090559587 -18.400381725350208 0 1 1
4579 229 1 -18.08493271701583 -3.0487146409716295 -19.07135500819398 0 0 1
203 11 1 -17.641820809775627 -3.4284644508970135 -18.066598267464407 1 0 0
6781 340 1 -19.704215123884985 -3.218243279309303 -17.612593479263243 0 1 1
204 11 1 -18.122538254092188 -4.00189763169155 -17.432596875348114 1 0 0
6783 340 1 -19.92260442155238 -3.1614808655911446 -18.76801356577408 0 1 1
4578 229 1 -17.15289937937348 -2.7808365856858517 -18.932114994110016 0 0 1
65 4 1 -14.595832354118913 -3.4082991577377877 -18.9873086505862 1 1 0
4575 229 1 -16.54633680521827 -3.6161382379914744 -18.354543696254538 0 0 1
4574 229 1 -15.591480366365701 -3.517612491308379 -18.58981519426654 0 0 1
4573 229 1 -15.706129053502984 -3.4885350578262444 -17.60268115510596 0 0 1
4577 229 1 -16.272774152030628 -2.9691095609747613 -19.235246782985907 0 0 1
4331 217 1 -14.493548067611343 -3.35653397907378 -17.894807396271283 1 0 1
3669 184 1 -16.753429169667484 -3.1522877319026508 -17.37080844582025 0 0 0
9776 489 1 -12.738800310962072 -3.5081609403964165 -18.290376958181028 1 0 0
9777 489 1 -13.64075764714097 -3.9138745016550387 -18.457242632040394 1 0 0
9780 489 1 -13.149000907135187 -3.50164922655589 -19.377663876841446 1 0 0
9775 489 1 -12.909374933666118 -4.17171125842131 -17.576916449406582 1 0 0
4330 217 1 -13.501286887729634 -3.2912613971317057 -17.61858088999578 1 0 1
4509 226 1 -12.140490143882026 -2.9644977260485295 -19.050401195710478 0 -1 1
4501 226 1 -11.914313415700025 -2.845317632097429 -17.96191626110663 0 -1 1
4510 226 1 -11.767902487405701 -3.810430225540389 -18.76259276357402 0 -1 1
9778 489 1 -13.709104060874257 -2.933242279487275 -18.552505958058664 1 0 0
4511 226 1 -11.825938569224165 -3.9011587498609814 -17.789206585549323 1 -1 1
4329 217 1 -12.623980889112618 -3.2005563789120997 -17.25408360554888 1 0 1
66 4 1 -14.082835965926582 -2.853026594846891 -19.600992914420893 1 1 0
4513 226 1 -10.160809200579509 -3.1797318136558452 -17.682320895289834 1 -1 1
9319 466 1 -10.014110778639564 -3.141735223256197 -18.76381506205125 1 -1 1
9320 466 1 -10.389507600708605 -4.007121125330178 -18.411614062654905 1 -1 1
4502 226 1 -11.046735871225433 -3.0712472569301297 -18.365038243437557 0 -1 1
79 4 1 -8.968975816312852 -3.4460116257867326 -17.517000745223054 1 1 0
5941 298 1 -9.065332226340487 -3.737326471233133 -18.661758490526175 0 0 0
5942 298 1 -9.429324592079318 -4.318027116674879 -17.95100229853847 0 0 0
4515 226 1 -10.363803746031724 -4.55987216612396 -17.431662816781305 1 -1 1
4512 226 1 -10.9591682506339 -3.6981785494041155 -17.441405808584946 1 -1 1
9401 471 1 -8.072552512898055 -3.8646683794374046 -18.0215490487778 0 0 0
9402 471 1 -7.30789240620905 -3.303107947366889 -18.343881384856576 0 0 0
8152 408 1 -6.129454542868422 -3.0396014254726955 -18.04844968909927 1 0 1
8146 408 1 -6.446125436520933 -3.5678545521844716 -19.000879234718784 1 0 1
9405 471 1 -6.60799447556776 -4.004804464587682 -17.88679968666716 0 0 0
9315 466 1 -8.25387099691024 -2.9846813669974024 -18.773337130369203 1 -1 1
80 4 1 -8.255493708793786 -2.8326581142752363 -17.67188934842817 1 1 0
8145 408 1 -5.901585869099878 -2.836139578771961 -19.497585323824815 1 0 1
9403 471 1 -7.3590862220816025 -3.2333261753805798 -17.38291381206874 0 0 0
5382 270 1 -7.376394401319558 -2.8815321473846485 -19.43103266620805 1 0 1
9406 471 1 -7.177013111151734 -4.288308299356092 -17.121696001083244 0 0 0
8147 408 1 -5.670610629538227 -4.0083889206642045 -18.58917208032374 1 0 1
8148 408 1 -5.5651539370890575 -3.9617664372378187 -17.600757374207816 1 0 1
8722 437 1 -3.7167584823704307 -3.6806496120337373 -17.54287517822904 0 1 1
5395 270 1 -3.434706740391753 -3.0782332263701733 -18.53364479004058 1 0 1
5394 270 1 -4.2759736628098075 -3.01514593382857 -19.026561585625313 1 0 1
5393 270 1 -4.82785122018327 -3.075226861455854 -19.876115006918734 1 0 1
8150 408 1 -4.700478660344049 -3.598468224571427 -18.215246731818766 1 0 1
8151 408 1 -5.32879728508754 -2.941331867287945 -18.570349437051668 1 0 1
8149 408 1 -5.16631630380023 -3.0805193151852244 -17.467584175843132 1 0 1
9414 471 1 -3.9854300203337867 -4.698150057357646 -17.317156092167643 0 0 0
8721 437 1 -2.942385418119011 -4.061059618797046 -18.00960058458947 0 1 1
4371 219 1 -2.9497317921596684 -2.9870189047110625 -17.538355062388337 -1 0 1
6890 345 1 -2.368380503138715 -3.2652223025329254 -18.926197646160425 0 0 0
6887 345 1 -1.6529097737558478 -4.085714572952199 -18.47601266692061 0 0 0
6888 345 1 -2.0544258296739413 -3.4384707803275623 -17.917425676449888 0 0 0
6892 345 1 -1.372765985367068 -3.5050408907237545 -19.77923599939613 0 0 0
6893 345 1 -0.5150552700005974 -3.0304061926372357 -19.642188634723787 0 0 0
6886 345 1 -0.7115026267475324 -3.904186394558357 -18.845384629271994 0 0 0
6885 345 1 -0.9753088825039083 -3.40827712499255 -17.98004045582178 0 0 0
6891 345 1 -1.3968962827505054 -3.0455140828642384 -18.89862352145213 0 0 0
5601 281 1 -0.7527370248653017 -4.468472655884534 -17.91178940884473 1 -1 1
8727 437 1 -2.1826694551568666 -4.684445627425146 -17.508197442283596 0 1 1
8728 437 1 -1.555386470276051 -3.987044801864281 -17.18182029515755 0 1 1
6884 345 1 -0.021999280102593787 -3.517674890195818 -17.9672919469136 0 0 0
5602 281 1 0.1786750680332082 -4.497438443819875 -17.629388590609455 1 -1 1
6896 345 1 0.25541142841906406 -4.410628508756621 -18.73168836436516 0 0 0
6895 345 1 0.3775318609404679 -3.526712611505352 -19.14219928672984 0 0 0
6897 345 1 1.2260952816766786 -4.289139224338165 -18.955367965407003 0 0 0
9520 476 1 2.5656955620713764 -3.235681639490148 -18.704590622867826 1 0 0
9514 476 1 2.0027843540623342 -3.9300474267772105 -18.16549546187211 1 0 0
5604 281 1 1.3471581314077679 -4.727734195154611 -17.83820931859477 1 -1 1
6898 345 1 1.448834637936781 -3.363376752162459 -18.94522733029929 0 0 0
6899 345 1 2.153760723791805 -3.7686652123920723 -19.54681969580028 0 0 0
5605 281 1 0.9736115444948776 -3.8388507492613644 -17.998067457225407 1 -1 1
9515 476 1 2.541995010869922 -4.758872391074618 -18.129774597592125 1 0 0
5606 281 1 1.5012198555592309 -3.302456700889064 -17.351441208405117 1 -1 1
5603 281 1 0.7194688753919347 -5.262403756622089 -17.226468438487647 1 -1 1
9513 476 1 2.272095617496667 -4.077872708762626 -17.262158628933268 1 0 0
7641 383 1 1.2017965323037272 -3.1746602102664663 -19.976983387971142 0 0 1
9516 476 1 2.874078955485848 -4.301437824803448 -18.970513919931896 1 0 0
6900 345 1 3.0258286552455114 -3.315492303767768 -19.668941702885878 0 0 0
9509 476 1 4.255097261354089 -4.95473406273226 -17.611645450047174 1 0 0
9512 476 1 3.014414050199347 -3.7779790776686086 -17.796630007337928 1 0 0
9507 476 1 4.002404743054288 -4.455874797259832 -19.219234197936654 1 0 0
9508 476 1 3.649567253441479 -4.5723989861674665 -18.285914047888898 1 0 0
9506 476 1 4.496610652254921 -3.6581044075925453 -19.482699740673322 1 0 0
5745 288 1 4.736698648154677 -4.817001457829943 -18.505859914453527 0 0 1
5744 288 1 4.579644397758106 -3.8920760363179325 -18.376866514445428 0 0 1
9517 476 1 3.5596640022331854 -3.6039768049872927 -18.74967746629521 1 0 0
5743 288 1 5.488376175975125 -3.8886890608783675 -18.237134808127095 0 0 1
5746 288 1 5.255940101510972 -4.353434140928753 -19.22164855207956 0 0 1
5754 288 1 5.310470815914753 -4.740287141675419 -17.636454800788357 0 0 1
8063 404 1 5.447325196429321 -3.2304278185768567 -19.065453554338173 0 1 0
9518 476 1 3.836820992897023 -3.061039725539191 -17.999085206347623 1 0 0
8773 439 1 5.103108427494668 -2.8952678111595813 -18.070337145578296 0 0 1
9511 476 1 3.2384979361235793 -4.625510256845114 -17.301944086054437 1 0 0
9510 476 1 4.038485353675663 -4.012140251408725 -17.41693650135572 1 0 0
4962 249 1 5.148200276694989 -3.5981845783299913 -17.237026817498048 0 0 0
